Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
1,2,"898,33",28/04/2025 19:38:46,ZNK904,Desconhecido,Black,Silver,5,ASCON GUARAJUBA,ANPR,
2,2,"865,05",28/04/2025 19:39:12,IFB8854,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
3,2,"972,45",28/04/2025 19:42:44,SYG4B31,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
4,2,"918,65",28/04/2025 19:42:46,,Desconhecido,Desconhecido,Gray,5,ASCON GUARAJUBA,ANPR,
5,2,"965,21",28/04/2025 19:43:35,SJZ7F24,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
6,2,"974,19",28/04/2025 19:43:58,SJZ7F24,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
7,2,"966,86",28/04/2025 19:44:04,PLO9D54,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
8,2,"929,27",28/04/2025 19:45:26,,Desconhecido,Desconhecido,Silver,5,ASCON GUARAJUBA,ANPR,
9,2,"988,19",28/04/2025 19:46:08,ID3X52,Desconhecido,Black,Silver,5,ASCON GUARAJUBA,ANPR,
10,2,"925,73",28/04/2025 19:46:15,SKD998,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
11,2,"925,83",28/04/2025 19:47:20,SAZ6A51,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
12,2,"926,4",28/04/2025 19:47:38,SKQ270,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
13,2,"1165,29",28/04/2025 19:49:46,SKM6A75,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
14,2,"928,74",28/04/2025 19:51:11,,Desconhecido,Desconhecido,Black,5,ASCON GUARAJUBA,ANPR,
15,2,"933,23",28/04/2025 19:51:55,SJX0M85,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
16,2,"958,36",28/04/2025 19:52:05,OUH7376,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
17,2,"969,73",28/04/2025 19:52:08,,Desconhecido,Desconhecido,Silver,5,ASCON GUARAJUBA,ANPR,
18,2,"900,63",28/04/2025 19:52:25,SI2459,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
19,2,"968,74",28/04/2025 19:55:05,AP0454,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
20,2,"845,83",28/04/2025 19:56:12,,Desconhecido,Desconhecido,White,5,ASCON GUARAJUBA,ANPR,
21,2,"868,24",28/04/2025 19:56:41,,Desconhecido,Desconhecido,Silver,5,ASCON GUARAJUBA,ANPR,
22,2,"1008,04",28/04/2025 19:58:01,OZB4225,Desconhecido,Black,Black,5,ASCON GUARAJUBA,ANPR,
23,2,"954,17",28/04/2025 19:59:57,IRM115,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
24,2,"997,45",28/04/2025 20:03:58,,Desconhecido,Desconhecido,Black,0,ASCON GUARAJUBA,ANPR,
25,2,"1027,88",28/04/2025 20:05:36,PKG0F74,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
26,2,"940,88",28/04/2025 20:05:38,SJG9J74,Desconhecido,White,Gray,5,ASCON GUARAJUBA,ANPR,
27,2,"959,94",28/04/2025 20:06:48,,Desconhecido,Desconhecido,Gray,5,ASCON GUARAJUBA,ANPR,
28,2,"862,16",28/04/2025 20:07:38,ZO6157,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
29,2,"1016,76",28/04/2025 20:12:33,,Desconhecido,Desconhecido,Black,5,ASCON GUARAJUBA,ANPR,
30,2,"970,74",28/04/2025 20:12:54,,Desconhecido,Desconhecido,Black,5,ASCON GUARAJUBA,ANPR,
31,2,"944,66",28/04/2025 20:13:58,GKD4B02,Desconhecido,Blue,Black,5,ASCON GUARAJUBA,ANPR,
32,2,"962,68",28/04/2025 20:15:16,SJO296,Desconhecido,White,Gray,5,ASCON GUARAJUBA,ANPR,
33,2,"937,51",28/04/2025 20:15:17,,Desconhecido,Desconhecido,Black,5,ASCON GUARAJUBA,ANPR,
34,2,"885,95",28/04/2025 20:15:21,AZK6427,Desconhecido,Black,Silver,5,ASCON GUARAJUBA,ANPR,
35,2,"1029,96",28/04/2025 20:17:46,SJX255,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
36,2,"961,81",28/04/2025 20:17:58,,Desconhecido,Desconhecido,Gray,5,ASCON GUARAJUBA,ANPR,
37,2,"950,59",28/04/2025 20:18:18,OZV0B35,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
38,2,"982,22",28/04/2025 20:19:05,,Desconhecido,Desconhecido,White,5,ASCON GUARAJUBA,ANPR,
39,2,"1000,98",28/04/2025 20:25:15,SJP8H81,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
40,2,"979,3",28/04/2025 20:25:38,,Desconhecido,Desconhecido,Silver,5,ASCON GUARAJUBA,ANPR,
41,2,"974,05",28/04/2025 20:26:14,IAU203,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
42,2,"950,28",28/04/2025 20:26:14,LGN9C36,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
43,2,"834,72",28/04/2025 20:26:19,NIO6156,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
44,2,"847,88",28/04/2025 20:26:23,PU4N64,Desconhecido,Blue,Black,5,ASCON GUARAJUBA,ANPR,
45,2,"963,32",28/04/2025 20:27:06,,Desconhecido,Desconhecido,Black,5,ASCON GUARAJUBA,ANPR,
46,2,"939,62",28/04/2025 20:28:23,TCE4S51,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
47,2,"857,79",28/04/2025 20:29:52,FL2322,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
48,2,"950,7",28/04/2025 20:30:44,AAP6J67,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
49,2,"914,8",28/04/2025 20:30:49,XG2614,Desconhecido,Black,Silver,5,ASCON GUARAJUBA,ANPR,
50,2,"939,3",28/04/2025 20:32:01,KV0797,Desconhecido,Black,White,5,ASCON GUARAJUBA,ANPR,
51,2,"952,69",28/04/2025 20:32:06,RPG6665,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
52,2,"873,73",28/04/2025 20:33:19,OLO4667,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
53,2,"914,84",28/04/2025 20:36:06,QWZ4G13,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
54,2,"988,73",28/04/2025 20:36:19,PKM2613,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
55,2,"943,96",28/04/2025 20:36:35,RCZ6C51,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
56,2,"912,33",28/04/2025 20:37:55,,Desconhecido,Desconhecido,Black,5,ASCON GUARAJUBA,ANPR,
57,2,"877,2",28/04/2025 20:37:57,,Desconhecido,Desconhecido,Black,5,ASCON GUARAJUBA,ANPR,
58,2,"1002,16",28/04/2025 20:38:22,,Desconhecido,Desconhecido,White,5,ASCON GUARAJUBA,ANPR,
59,2,"936,13",28/04/2025 20:38:28,,Desconhecido,Desconhecido,Silver,5,ASCON GUARAJUBA,ANPR,
60,2,"874,29",28/04/2025 20:40:58,API7144,Desconhecido,White,Black,5,ASCON GUARAJUBA,ANPR,
61,2,"981,73",28/04/2025 20:41:15,LGO965,Desconhecido,Black,White,5,ASCON GUARAJUBA,ANPR,
62,2,"961,2",28/04/2025 20:42:18,ALA4902,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
63,2,"929,67",28/04/2025 20:42:34,RNK842,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
64,2,"1013,12",28/04/2025 20:43:43,CRG0J09,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
65,2,"845,01",28/04/2025 20:43:45,STV5172,Desconhecido,White,Silver,5,ASCON GUARAJUBA,ANPR,
66,2,"864,58",28/04/2025 20:43:50,,Desconhecido,Desconhecido,Silver,5,ASCON GUARAJUBA,ANPR,
67,2,"915,16",28/04/2025 20:44:29,,Desconhecido,Desconhecido,White,5,ASCON GUARAJUBA,ANPR,
68,2,"916,97",28/04/2025 20:51:34,PLM704,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
69,2,"947,35",28/04/2025 20:52:38,,Desconhecido,Desconhecido,Black,5,ASCON GUARAJUBA,ANPR,
70,2,"935,8",28/04/2025 20:54:02,,Desconhecido,Desconhecido,Black,5,ASCON GUARAJUBA,ANPR,
71,2,"916,83",28/04/2025 20:54:16,TAV6I41,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
72,2,"1011,47",28/04/2025 20:57:13,SJS4J77,Desconhecido,White,Gray,5,ASCON GUARAJUBA,ANPR,
73,2,"993,43",28/04/2025 20:58:30,JAT6D9,Desconhecido,White,White,5,ASCON GUARAJUBA,ANPR,
