Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
1,1,"1041,74",08/05/2025 09:29:10,SEA5B32,Desconhecido,White,White,0,ASCON GENIPABU,ANPR,
2,1,"996,05",08/05/2025 09:31:12,JPY1864,Desconhecido,White,Silver,0,ASCON GENIPABU,ANPR,
3,1,"991,39",08/05/2025 09:32:39,RPX2F20,Desconhecido,White,Black,0,ASCON GENIPABU,ANPR,
4,1,"1089,56",08/05/2025 09:33:40,RDI5438,Desconhecido,White,Black,0,ASCON GENIPABU,ANPR,
5,1,"1122,45",08/05/2025 09:36:06,SKN1C60,Desconhecido,White,Black,0,ASCON GENIPABU,ANPR,
6,1,"1004,79",08/05/2025 09:36:48,SJS1I89,Desconhecido,White,White,0,ASCON GENIPABU,ANPR,
7,1,"1003,15",08/05/2025 09:37:30,HOG9H18,Desconhecido,White,Black,0,ASCON GENIPABU,ANPR,
8,1,"970,21",08/05/2025 09:39:24,RDI8D61,Desconhecido,White,Red,0,ASCON GENIPABU,ANPR,
9,1,"914,06",08/05/2025 09:40:56,OLB0961,Desconhecido,White,White,0,ASCON GENIPABU,ANPR,
10,1,"965,08",08/05/2025 09:42:03,OKT6861,Desconhecido,White,Silver,0,ASCON GENIPABU,ANPR,
11,1,"998,55",08/05/2025 09:42:58,OUL7I58,Desconhecido,White,Red,0,ASCON GENIPABU,ANPR,
12,1,"1003,72",08/05/2025 09:46:26,SJW5H27,Desconhecido,White,Gray,0,ASCON GENIPABU,ANPR,
13,1,"999,41",08/05/2025 09:47:41,PYD3G71,Desconhecido,White,Silver,0,ASCON GENIPABU,ANPR,
14,1,"889,82",08/05/2025 09:48:11,,Desconhecido,Desconhecido,White,0,ASCON GENIPABU,ANPR,
15,1,"1032,97",08/05/2025 09:48:37,SHE6G85,Desconhecido,White,Green,0,ASCON GENIPABU,ANPR,
16,1,"1117,27",08/05/2025 09:48:38,RCV8B70,Desconhecido,White,Black,0,ASCON GENIPABU,ANPR,
17,1,"1073,64",08/05/2025 09:49:35,EHS657,Desconhecido,White,Black,0,ASCON GENIPABU,ANPR,
18,1,"1118,42",08/05/2025 09:49:49,RPR2F62,Desconhecido,White,Black,0,ASCON GENIPABU,ANPR,
