Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
428479,,,06/05/2025 07:09:43,JR1569,,,,,SOL,,
176696,,,06/05/2025 07:22:38,NZA8R10,,,,,SOL,,
412735,,,06/05/2025 07:23:26,OV0511,,,,,SOL,,
171665,,,06/05/2025 07:24:10,Sem placa,,,,,SOL,,
889352,,,06/05/2025 07:26:15,PJZ474,,,,,SOL,,
178630,,,06/05/2025 07:26:34,Sem placa,,,,,SOL,,
205830,,,06/05/2025 07:29:58,RC38I11,,,,,SOL,,
408688,,,06/05/2025 07:30:57,QAF624,,,,,SOL,,
742435,,,06/05/2025 07:32:22,PLC2846,,,,,SOL,,
454436,,,06/05/2025 07:34:04,NTK5004,,,,,SOL,,
368310,,,06/05/2025 07:39:00,PLN8I50,,,,,SOL,,
14145,,,06/05/2025 07:42:51,PEM4E71,,,,,SOL,,
848054,,,06/05/2025 07:45:34,HMY4812,,,,,SOL,,
501495,,,06/05/2025 07:53:58,HCO7546,,,,,SOL,,
196926,,,06/05/2025 07:55:35,SSR1A74,,,,,SOL,,
633251,,,06/05/2025 07:56:17,SJJ7H66,,,,,SOL,,
42920,,,06/05/2025 07:58:08,IAO5G93,,,,,SOL,,
143265,,,06/05/2025 08:06:04,PJU4C63,,,,,SOL,,
910982,,,06/05/2025 08:07:19,JPW8919,,,,,SOL,,
465423,,,06/05/2025 08:11:45,PLM1700,,,,,SOL,,
378383,,,06/05/2025 08:12:53,OZC8I89,,,,,SOL,,
388784,,,06/05/2025 08:21:48,QQZ1B37,,,,,SOL,,
409979,,,06/05/2025 08:22:07,NYO5251,,,,,SOL,,
479344,,,06/05/2025 08:23:14,NTW0B77,,,,,SOL,,
397696,,,06/05/2025 08:26:19,NTR3618,,,,,SOL,,
487518,,,06/05/2025 08:28:52,Sem placa,,,,,SOL,,
712528,,,06/05/2025 08:30:06,PUO1798,,,,,SOL,,
404714,,,06/05/2025 08:32:53,JSM6138,,,,,SOL,,
990753,,,06/05/2025 08:41:38,FEW6I91,,,,,SOL,,
8255,,,06/05/2025 08:53:07,NMF2F05,,,,,SOL,,
14255,,,06/05/2025 08:53:21,OUI6099,,,,,SOL,,
287805,,,06/05/2025 08:53:26,JQB7A84,,,,,SOL,,
330185,,,06/05/2025 08:53:38,KKH0959,,,,,SOL,,
495528,,,06/05/2025 08:59:04,Sem placa,,,,,SOL,,
816289,,,06/05/2025 09:07:20,Sem placa,,,,,SOL,,
697624,,,06/05/2025 09:09:14,JPW4712,,,,,SOL,,
320329,,,06/05/2025 09:09:53,NYK5215,,,,,SOL,,
440812,,,06/05/2025 09:10:40,Sem placa,,,,,SOL,,
770898,,,06/05/2025 09:12:08,Sem placa,,,,,SOL,,
109980,,,06/05/2025 09:12:34,JSU8200,,,,,SOL,,
649946,,,06/05/2025 09:14:11,OPT2E04,,,,,SOL,,
786115,,,06/05/2025 09:14:23,Sem placa,,,,,SOL,,
562443,,,06/05/2025 09:16:27,RCO4D06,,,,,SOL,,
983972,,,06/05/2025 09:19:49,Sem placa,,,,,SOL,,
522107,,,06/05/2025 09:22:45,Sem placa,,,,,SOL,,
507384,,,06/05/2025 09:22:46,Sem placa,,,,,SOL,,
427385,,,06/05/2025 09:22:54,QTX8A45,,,,,SOL,,
513766,,,06/05/2025 09:35:19,RCX4J72,,,,,SOL,,
686879,,,06/05/2025 09:35:44,QTV8A42,,,,,SOL,,
403579,,,06/05/2025 09:44:39,OKP9D19,,,,,SOL,,
98662,,,06/05/2025 09:51:53,RUF2I65,,,,,SOL,,
462139,,,06/05/2025 09:54:40,TCJ8D39,,,,,SOL,,
266225,,,06/05/2025 10:02:15,PKW4J33,,,,,SOL,,
536799,,,06/05/2025 10:06:23,Sem placa,,,,,SOL,,
789831,,,06/05/2025 10:15:30,OUL1859,,,,,SOL,,
267859,,,06/05/2025 10:15:44,RPH7I35,,,,,SOL,,
409916,,,06/05/2025 10:18:24,Sem placa,,,,,SOL,,
823975,,,06/05/2025 10:20:30,PJR6608,,,,,SOL,,
456553,,,06/05/2025 10:32:13,JPW4712,,,,,SOL,,
932793,,,06/05/2025 10:32:31,Sem placa,,,,,SOL,,
568226,,,06/05/2025 10:34:52,Sem placa,,,,,SOL,,
350223,,,06/05/2025 10:37:20,NTM2946,,,,,SOL,,
965882,,,06/05/2025 10:40:32,RNS0G92,,,,,SOL,,
935648,,,06/05/2025 10:50:20,IAA8912,,,,,SOL,,
134247,,,06/05/2025 10:54:07,PWV9771,,,,,SOL,,
608015,,,06/05/2025 10:55:39,RVJ1D62,,,,,SOL,,
666624,,,06/05/2025 10:56:04,Sem placa,,,,,SOL,,
545544,,,06/05/2025 11:03:14,SIX4B82,,,,,SOL,,
926667,,,06/05/2025 11:05:39,SJF5I95,,,,,SOL,,
172255,,,06/05/2025 11:17:30,Sem placa,,,,,SOL,,
631085,,,06/05/2025 11:27:32,SYM1A44,,,,,SOL,,
350091,,,06/05/2025 11:27:33,OKT7351,,,,,SOL,,
547938,,,06/05/2025 11:32:04,RNW8H75,,,,,SOL,,
208472,,,06/05/2025 11:33:33,HKQ6G77,,,,,SOL,,
192360,,,06/05/2025 11:35:34,JOU9C7,,,,,SOL,,
127640,,,06/05/2025 11:39:26,RNO4C14,,,,,SOL,,
766896,,,06/05/2025 11:46:37,RDC3I88,,,,,SOL,,
138456,,,06/05/2025 11:47:55,Sem placa,,,,,SOL,,
621779,,,06/05/2025 11:58:12,NYM5D06,,,,,SOL,,
105954,,,06/05/2025 11:59:13,Sem placa,,,,,SOL,,
930918,,,06/05/2025 12:04:36,OQM0447,,,,,SOL,,
630370,,,06/05/2025 12:08:25,JPG1851,,,,,SOL,,
17109,,,06/05/2025 12:10:39,SIW4I14,,,,,SOL,,
937951,,,06/05/2025 12:16:48,NTT5E84,,,,,SOL,,
99143,,,06/05/2025 12:19:17,PJN0B18,,,,,SOL,,
597125,,,06/05/2025 12:21:09,RVR0H42,,,,,SOL,,
877291,,,06/05/2025 12:25:56,QTX1H77,,,,,SOL,,
92526,,,06/05/2025 12:29:35,QNZ5C72,,,,,SOL,,
428795,,,06/05/2025 12:29:55,NZL750,,,,,SOL,,
250025,,,06/05/2025 12:33:04,PLG1B62,,,,,SOL,,
874758,,,06/05/2025 12:36:01,IAL8I19,,,,,SOL,,
263633,,,06/05/2025 12:46:22,RPR8I99,,,,,SOL,,
570943,,,06/05/2025 12:47:37,PLP3H23,,,,,SOL,,
365036,,,06/05/2025 12:51:12,TDB0A54,,,,,SOL,,
187905,,,06/05/2025 12:52:12,PBA8A73,,,,,SOL,,
941546,,,06/05/2025 12:52:39,LTR4H82,,,,,SOL,,
960769,,,06/05/2025 12:52:56,RUF2I65,,,,,SOL,,
950871,,,06/05/2025 12:53:57,RPS0I97,,,,,SOL,,
927733,,,06/05/2025 12:56:03,NZL7753,,,,,SOL,,
567778,,,06/05/2025 13:03:58,PAR4B68,,,,,SOL,,
744307,,,06/05/2025 13:04:50,NTM2946,,,,,SOL,,
778673,,,06/05/2025 13:08:21,FAU3I46,,,,,SOL,,
711252,,,06/05/2025 13:10:00,PLR8E03,,,,,SOL,,
594237,,,06/05/2025 13:14:02,Sem placa,,,,,SOL,,
737921,,,06/05/2025 13:25:58,PLC8H27,,,,,SOL,,
766735,,,06/05/2025 13:27:30,Sem placa,,,,,SOL,,
366365,,,06/05/2025 13:35:13,SKO2G71,,,,,SOL,,
789774,,,06/05/2025 13:37:08,HCO7546,,,,,SOL,,
277953,,,06/05/2025 13:40:05,RCO4D06,,,,,SOL,,
479628,,,06/05/2025 13:50:33,JPM6743,,,,,SOL,,
988863,,,06/05/2025 13:54:19,Sem placa,,,,,SOL,,
508016,,,06/05/2025 14:11:08,PLP3H23,,,,,SOL,,
182414,,,06/05/2025 14:11:27,TCV9I29,,,,,SOL,,
591383,,,06/05/2025 14:15:53,RDI2G03,,,,,SOL,,
353029,,,06/05/2025 14:16:19,OEO8068,,,,,SOL,,
770852,,,06/05/2025 14:16:52,RCP6D93,,,,,SOL,,
270017,,,06/05/2025 14:17:06,SYH6J88,,,,,SOL,,
920487,,,06/05/2025 14:38:12,NZX8B10,,,,,SOL,,
561807,,,06/05/2025 14:38:53,PJM9A57,,,,,SOL,,
947599,,,06/05/2025 14:44:41,QLD5D09,,,,,SOL,,
691491,,,06/05/2025 14:52:19,TGS2F98,,,,,SOL,,
506681,,,06/05/2025 14:55:48,PJC1608,,,,,SOL,,
542127,,,06/05/2025 14:56:05,PJW8I52,,,,,SOL,,
330920,,,06/05/2025 14:56:07,RDL2J07,,,,,SOL,,
272413,,,06/05/2025 15:01:47,PCI5G94,,,,,SOL,,
376367,,,06/05/2025 15:04:12,Sem placa,,,,,SOL,,
334221,,,06/05/2025 15:06:19,QXX1I85,,,,,SOL,,
932483,,,06/05/2025 15:11:06,Sem placa,,,,,SOL,,
388408,,,06/05/2025 15:21:32,PJJ5916,,,,,SOL,,
914688,,,06/05/2025 15:21:52,RQX9C61,,,,,SOL,,
420261,,,06/05/2025 15:24:26,PKB5183,,,,,SOL,,
525734,,,06/05/2025 15:25:16,Sem placa,,,,,SOL,,
306176,,,06/05/2025 15:25:50,PJJ7977,,,,,SOL,,
959519,,,06/05/2025 15:26:34,HCO7546,,,,,SOL,,
235171,,,06/05/2025 15:39:22,OKJ1E47,,,,,SOL,,
584910,,,06/05/2025 15:42:15,OXF3J21,,,,,SOL,,
621770,,,06/05/2025 15:45:21,RVJ1D62,,,,,SOL,,
377412,,,06/05/2025 15:48:49,JPG1851,,,,,SOL,,
270198,,,06/05/2025 16:13:17,Sem placa,,,,,SOL,,
325079,,,06/05/2025 16:16:21,OKZ1A87,,,,,SOL,,
876454,,,06/05/2025 16:18:19,JQB7A84,,,,,SOL,,
