Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
853933,,,08/05/2025 17:00:59,NZD9H77,,,,,SOL,,
139422,,,08/05/2025 17:02:15,QVU4H85,,,,,SOL,,
431051,,,08/05/2025 17:04:28,JOZ6233,,,,,SOL,,
206480,,,08/05/2025 17:06:10,PLN9E25,,,,,SOL,,
822155,,,08/05/2025 17:10:13,Sem placa,,,,,SOL,,
359486,,,08/05/2025 17:16:24,RTL214,,,,,SOL,,
505164,,,08/05/2025 17:18:04,TES8813,,,,,SOL,,
701032,,,08/05/2025 17:33:01,JPS7864,,,,,SOL,,
270444,,,08/05/2025 17:34:43,Sem placa,,,,,SOL,,
332715,,,08/05/2025 17:36:37,RZL1H61,,,,,SOL,,
605040,,,08/05/2025 17:38:42,RPS2497,,,,,SOL,,
766763,,,08/05/2025 17:39:14,PLI9E01,,,,,SOL,,
989684,,,08/05/2025 17:50:15,Sem placa,,,,,SOL,,
400315,,,08/05/2025 17:58:28,PKC022,,,,,SOL,,
652292,,,08/05/2025 18:05:16,JOO2394,,,,,SOL,,
792908,,,08/05/2025 18:07:43,Sem placa,,,,,SOL,,
603199,,,08/05/2025 18:11:46,BJN070,,,,,SOL,,
15075,,,08/05/2025 18:13:55,PJL5I98,,,,,SOL,,
294848,,,08/05/2025 18:14:05,RDW129,,,,,SOL,,
670181,,,08/05/2025 18:17:32,OX5J16,,,,,SOL,,
771538,,,08/05/2025 18:21:55,SJO4C37,,,,,SOL,,
236409,,,08/05/2025 18:22:35,RD3609,,,,,SOL,,
137555,,,08/05/2025 18:23:45,MYO3673,,,,,SOL,,
811574,,,08/05/2025 18:24:29,Sem placa,,,,,SOL,,
504514,,,08/05/2025 18:38:50,Sem placa,,,,,SOL,,
754815,,,08/05/2025 18:42:35,Sem placa,,,,,SOL,,
700024,,,08/05/2025 18:46:12,AZJ4124,,,,,SOL,,
531427,,,08/05/2025 18:48:56,Sem placa,,,,,SOL,,
589086,,,08/05/2025 18:56:11,OXZ562,,,,,SOL,,
237737,,,08/05/2025 18:59:51,OLB1B42,,,,,SOL,,
345055,,,08/05/2025 19:05:00,SHJ9B09,,,,,SOL,,
999089,,,08/05/2025 19:08:23,NYO5473,,,,,SOL,,
140132,,,08/05/2025 19:19:08,SKP4R81,,,,,SOL,,
506061,,,08/05/2025 19:21:23,TAT6H53,,,,,SOL,,
501061,,,08/05/2025 19:31:24,OUK4J99,,,,,SOL,,
935595,,,08/05/2025 19:35:16,TEB8E13,,,,,SOL,,
732702,,,08/05/2025 20:09:02,Sem placa,,,,,SOL,,
573052,,,08/05/2025 20:39:08,Sem placa,,,,,SOL,,
959662,,,08/05/2025 20:46:21,Sem placa,,,,,SOL,,
559923,,,08/05/2025 20:48:14,PAR4R68,,,,,SOL,,
503675,,,08/05/2025 21:05:21,OLB1R2,,,,,SOL,,
64572,,,08/05/2025 22:19:40,Sem placa,,,,,SOL,,
174619,,,08/05/2025 22:19:54,Sem placa,,,,,SOL,,
20248,,,08/05/2025 22:38:56,SJT8D40,,,,,SOL,,
773406,,,08/05/2025 22:46:21,JSS749,,,,,SOL,,
40486,,,08/05/2025 23:07:54,QWU6H85,,,,,SOL,,
860039,,,08/05/2025 23:19:17,SK0116,,,,,SOL,,
985703,,,08/05/2025 23:27:46,HCO7546,,,,,SOL,,
943606,,,08/05/2025 23:38:44,Sem placa,,,,,SOL,,
987986,,,08/05/2025 23:49:54,RVO7697,,,,,SOL,,
533901,,,08/05/2025 23:55:45,TCW0606,,,,,SOL,,
913276,,,08/05/2025 23:59:25,SEY8E74,,,,,SOL,,
650676,,,09/05/2025 00:05:47,RVY171,,,,,SOL,,
766579,,,09/05/2025 02:28:07,Sem placa,,,,,SOL,,
