Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
990362,,,09/05/2025 04:22:21,RPB2828,,,,,SOL,,
405015,,,09/05/2025 05:33:43,Sem placa,,,,,SOL,,
651797,,,09/05/2025 05:42:26,IG7I84,,,,,SOL,,
972028,,,09/05/2025 05:46:16,QKI388,,,,,SOL,,
270379,,,09/05/2025 05:52:47,SKQ891,,,,,SOL,,
590288,,,09/05/2025 05:53:46,RPP7H20,,,,,SOL,,
508633,,,09/05/2025 06:04:25,PKP8J07,,,,,SOL,,
653160,,,09/05/2025 06:17:14,JRX1528,,,,,SOL,,
511610,,,09/05/2025 06:44:40,QFD3A22,,,,,SOL,,
919012,,,09/05/2025 06:50:55,RPC9E58,,,,,SOL,,
16579,,,09/05/2025 07:02:05,TCH4I02,,,,,SOL,,
339131,,,09/05/2025 07:02:09,PKZ7E04,,,,,SOL,,
126333,,,09/05/2025 07:04:19,Sem placa,,,,,SOL,,
342586,,,09/05/2025 07:05:33,PLF6335,,,,,SOL,,
687059,,,09/05/2025 07:11:29,OVD3C12,,,,,SOL,,
441602,,,09/05/2025 07:13:58,Sem placa,,,,,SOL,,
135754,,,09/05/2025 07:19:16,Sem placa,,,,,SOL,,
118751,,,09/05/2025 07:19:50,RDJ7C30,,,,,SOL,,
253520,,,09/05/2025 07:30:03,NYU5673,,,,,SOL,,
279379,,,09/05/2025 07:37:08,OKS0163,,,,,SOL,,
510217,,,09/05/2025 07:39:02,RDI4A41,,,,,SOL,,
524860,,,09/05/2025 07:44:29,JSA4263,,,,,SOL,,
880663,,,09/05/2025 07:45:17,PKV0A92,,,,,SOL,,
843149,,,09/05/2025 07:52:37,JPG1851,,,,,SOL,,
637114,,,09/05/2025 07:52:40,RVO3E89,,,,,SOL,,
106037,,,09/05/2025 07:54:12,HCO7546,,,,,SOL,,
871296,,,09/05/2025 07:55:46,IAO5G93,,,,,SOL,,
279291,,,09/05/2025 07:56:07,QNE4D79,,,,,SOL,,
982204,,,09/05/2025 07:57:24,PLH6178,,,,,SOL,,
729347,,,09/05/2025 07:57:40,Sem placa,,,,,SOL,,
824495,,,09/05/2025 07:58:04,TCS5E69,,,,,SOL,,
621107,,,09/05/2025 08:04:53,EJF8E98,,,,,SOL,,
524050,,,09/05/2025 08:05:47,MLL3C00,,,,,SOL,,
764266,,,09/05/2025 08:07:40,NTW0B77,,,,,SOL,,
690079,,,09/05/2025 08:07:54,OZC8I89,,,,,SOL,,
635835,,,09/05/2025 08:08:15,IAA8977,,,,,SOL,,
464692,,,09/05/2025 08:10:35,PKO3C89,,,,,SOL,,
324684,,,09/05/2025 08:11:06,FEW6I91,,,,,SOL,,
499698,,,09/05/2025 08:16:28,Sem placa,,,,,SOL,,
319063,,,09/05/2025 08:17:32,RPO2H61,,,,,SOL,,
987528,,,09/05/2025 08:24:00,PLM1700,,,,,SOL,,
714143,,,09/05/2025 08:24:49,RPA6D33,,,,,SOL,,
666639,,,09/05/2025 08:26:58,OUZ8B30,,,,,SOL,,
879489,,,09/05/2025 08:29:59,PLT8I43,,,,,SOL,,
703662,,,09/05/2025 08:30:13,Sem placa,,,,,SOL,,
905139,,,09/05/2025 08:34:15,QQN0F08,,,,,SOL,,
233496,,,09/05/2025 08:35:16,Sem placa,,,,,SOL,,
768218,,,09/05/2025 08:35:23,Sem placa,,,,,SOL,,
723465,,,09/05/2025 08:35:57,QQZ1B37,,,,,SOL,,
846395,,,09/05/2025 08:41:42,QKS5B98,,,,,SOL,,
751191,,,09/05/2025 08:41:45,FLY9F40,,,,,SOL,,
362684,,,09/05/2025 08:45:46,PXM0I07,,,,,SOL,,
