Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
105712,,,06/05/2025 10:02:15,PKW4J33,,,,,SOL,,
921303,,,06/05/2025 10:06:23,Sem placa,,,,,SOL,,
213827,,,06/05/2025 10:15:30,OUL1859,,,,,SOL,,
948663,,,06/05/2025 10:15:44,RPH7I35,,,,,SOL,,
840514,,,06/05/2025 10:18:24,Sem placa,,,,,SOL,,
159968,,,06/05/2025 10:20:30,PJR6608,,,,,SOL,,
428333,,,06/05/2025 10:32:13,JPW4712,,,,,SOL,,
459835,,,06/05/2025 10:32:31,Sem placa,,,,,SOL,,
344774,,,06/05/2025 10:34:52,Sem placa,,,,,SOL,,
706608,,,06/05/2025 10:37:20,NTM2946,,,,,SOL,,
571457,,,06/05/2025 10:40:32,RNS0G92,,,,,SOL,,
503418,,,06/05/2025 10:50:20,IAA8912,,,,,SOL,,
577020,,,06/05/2025 10:54:07,PWV9771,,,,,SOL,,
797356,,,06/05/2025 10:55:39,RVJ1D62,,,,,SOL,,
983052,,,06/05/2025 10:56:04,Sem placa,,,,,SOL,,
541700,,,06/05/2025 11:03:14,SIX4B82,,,,,SOL,,
232261,,,06/05/2025 11:05:39,SJF5I95,,,,,SOL,,
632837,,,06/05/2025 11:17:30,Sem placa,,,,,SOL,,
874148,,,06/05/2025 11:27:32,SYM1A44,,,,,SOL,,
465643,,,06/05/2025 11:27:33,OKT7351,,,,,SOL,,
235010,,,06/05/2025 11:32:04,RNW8H75,,,,,SOL,,
783359,,,06/05/2025 11:33:33,HKQ6G77,,,,,SOL,,
399487,,,06/05/2025 11:35:34,JOU9C7,,,,,SOL,,
961495,,,06/05/2025 11:39:26,RNO4C14,,,,,SOL,,
597152,,,06/05/2025 11:46:37,RDC3I88,,,,,SOL,,
174132,,,06/05/2025 11:47:55,Sem placa,,,,,SOL,,
477986,,,06/05/2025 11:58:12,NYM5D06,,,,,SOL,,
614750,,,06/05/2025 11:59:13,Sem placa,,,,,SOL,,
909972,,,06/05/2025 12:04:36,OQM0447,,,,,SOL,,
897524,,,06/05/2025 12:08:25,JPG1851,,,,,SOL,,
965623,,,06/05/2025 12:10:39,SIW4I14,,,,,SOL,,
362674,,,06/05/2025 12:16:48,NTT5E84,,,,,SOL,,
452981,,,06/05/2025 12:19:17,PJN0B18,,,,,SOL,,
663623,,,06/05/2025 12:21:09,RVR0H42,,,,,SOL,,
246412,,,06/05/2025 12:25:56,QTX1H77,,,,,SOL,,
901224,,,06/05/2025 12:29:35,QNZ5C72,,,,,SOL,,
48839,,,06/05/2025 12:29:55,NZL750,,,,,SOL,,
667899,,,06/05/2025 12:33:04,PLG1B62,,,,,SOL,,
754401,,,06/05/2025 12:36:01,IAL8I19,,,,,SOL,,
383809,,,06/05/2025 12:46:22,RPR8I99,,,,,SOL,,
180995,,,06/05/2025 12:47:37,PLP3H23,,,,,SOL,,
940756,,,06/05/2025 12:51:12,TDB0A54,,,,,SOL,,
4521,,,06/05/2025 12:52:12,PBA8A73,,,,,SOL,,
737942,,,06/05/2025 12:52:39,LTR4H82,,,,,SOL,,
694194,,,06/05/2025 12:52:56,RUF2I65,,,,,SOL,,
765118,,,06/05/2025 12:53:57,RPS0I97,,,,,SOL,,
896858,,,06/05/2025 12:56:03,NZL7753,,,,,SOL,,
311628,,,06/05/2025 13:03:58,PAR4B68,,,,,SOL,,
252701,,,06/05/2025 13:04:50,NTM2946,,,,,SOL,,
