Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
348287,,,24/04/2025 12:56:47,SHY3A22,,,,,SOL,,
710718,,,24/04/2025 13:11:45,QGT0141,,,,,SOL,,
908111,,,24/04/2025 13:12:45,PJY2832,,,,,SOL,,
709069,,,24/04/2025 13:12:50,RPE0J63,,,,,SOL,,
920006,,,24/04/2025 13:15:45,PJC1608,,,,,SOL,,
943077,,,24/04/2025 13:16:26,Sem placa,,,,,SOL,,
939304,,,24/04/2025 13:19:57,HIX1841,,,,,SOL,,
960032,,,24/04/2025 13:20:50,Sem placa,,,,,SOL,,
446307,,,24/04/2025 13:22:46,JPM6743,,,,,SOL,,
948501,,,24/04/2025 13:23:26,NYQ3843,,,,,SOL,,
566019,,,24/04/2025 13:27:25,SEA5B32,,,,,SOL,,
543956,,,24/04/2025 13:29:21,QKS5B98,,,,,SOL,,
653569,,,24/04/2025 13:29:52,SJQ0D73,,,,,SOL,,
295958,,,24/04/2025 13:30:51,QNE0H36,,,,,SOL,,
274105,,,24/04/2025 13:31:09,HCO7546,,,,,SOL,,
348984,,,24/04/2025 13:38:35,OGF7047,,,,,SOL,,
58943,,,24/04/2025 13:38:42,SJO4C37,,,,,SOL,,
275887,,,24/04/2025 13:40:40,PKD574,,,,,SOL,,
194279,,,24/04/2025 13:41:07,RDJ6J97,,,,,SOL,,
466758,,,24/04/2025 13:41:49,OKZ1B76,,,,,SOL,,
871385,,,24/04/2025 13:42:14,SJK8B44,,,,,SOL,,
358738,,,24/04/2025 13:42:22,Sem placa,,,,,SOL,,
172653,,,24/04/2025 13:53:03,PKQ9933,,,,,SOL,,
753386,,,24/04/2025 13:53:12,Sem placa,,,,,SOL,,
262874,,,24/04/2025 13:53:14,Sem placa,,,,,SOL,,
928150,,,24/04/2025 13:53:22,RPF2J38,,,,,SOL,,
244110,,,24/04/2025 13:57:34,Sem placa,,,,,SOL,,
218892,,,24/04/2025 14:02:14,QNZ5C72,,,,,SOL,,
369653,,,24/04/2025 14:15:25,OUY7182,,,,,SOL,,
295932,,,24/04/2025 14:16:43,Sem placa,,,,,SOL,,
647038,,,24/04/2025 14:22:23,PJC0G10,,,,,SOL,,
804900,,,24/04/2025 14:23:03,RDF9C96,,,,,SOL,,
525308,,,24/04/2025 14:26:49,PCR9D26,,,,,SOL,,
51494,,,24/04/2025 14:43:56,ALP6425,,,,,SOL,,
703612,,,24/04/2025 14:51:28,OKJ1E47,,,,,SOL,,
243436,,,24/04/2025 14:57:15,Sem placa,,,,,SOL,,
963668,,,24/04/2025 14:57:51,Sem placa,,,,,SOL,,
231680,,,24/04/2025 14:59:41,Sem placa,,,,,SOL,,
677303,,,24/04/2025 15:02:13,SDZ9E74,,,,,SOL,,
614693,,,24/04/2025 15:02:20,QTY8H31,,,,,SOL,,
137991,,,24/04/2025 15:05:42,SJE6A72,,,,,SOL,,
323003,,,24/04/2025 15:08:14,NZO5548,,,,,SOL,,
728215,,,24/04/2025 15:13:27,RDP6G94,,,,,SOL,,
603790,,,24/04/2025 15:13:49,Sem placa,,,,,SOL,,
678899,,,24/04/2025 15:18:36,Sem placa,,,,,SOL,,
606752,,,24/04/2025 15:22:13,PJY2832,,,,,SOL,,
65559,,,24/04/2025 15:22:18,RPE0J63,,,,,SOL,,
704409,,,24/04/2025 15:24:24,PLX5D49,,,,,SOL,,
920541,,,24/04/2025 15:26:26,RDR2D79,,,,,SOL,,
409531,,,24/04/2025 15:28:09,QIE3B30,,,,,SOL,,
88458,,,24/04/2025 15:30:25,RUQ8A41,,,,,SOL,,
647916,,,24/04/2025 15:35:33,TDZ2G31,,,,,SOL,,
542936,,,24/04/2025 15:38:20,RUW6I29,,,,,SOL,,
715429,,,24/04/2025 15:41:25,RDM9B31,,,,,SOL,,
82479,,,24/04/2025 15:43:20,NYK5215,,,,,SOL,,
753448,,,24/04/2025 15:43:29,QTV8A42,,,,,SOL,,
640272,,,24/04/2025 15:50:20,Sem placa,,,,,SOL,,
718603,,,24/04/2025 15:52:32,FLK0H10,,,,,SOL,,
748005,,,24/04/2025 16:01:56,EXI1F31,,,,,SOL,,
525746,,,24/04/2025 16:08:16,PJM0700,,,,,SOL,,
764406,,,24/04/2025 16:13:45,SHM2I76,,,,,SOL,,
347959,,,24/04/2025 16:15:08,Sem placa,,,,,SOL,,
214041,,,24/04/2025 16:18:56,PLC2746,,,,,SOL,,
691829,,,24/04/2025 16:21:05,PKK8A48,,,,,SOL,,
67690,,,24/04/2025 16:24:16,PLF6335,,,,,SOL,,
349005,,,24/04/2025 16:24:47,TAU1G95,,,,,SOL,,
117639,,,24/04/2025 16:25:14,TJJ8I19,,,,,SOL,,
286222,,,24/04/2025 16:29:39,RPH0A27,,,,,SOL,,
343961,,,24/04/2025 16:29:49,Sem placa,,,,,SOL,,
49313,,,24/04/2025 16:29:54,Sem placa,,,,,SOL,,
344041,,,24/04/2025 16:30:28,Sem placa,,,,,SOL,,
113534,,,24/04/2025 16:37:05,FYM8C01,,,,,SOL,,
966734,,,24/04/2025 16:43:23,TLP7B72,,,,,SOL,,
655810,,,24/04/2025 16:45:31,OKZ1B76,,,,,SOL,,
415433,,,24/04/2025 16:49:59,PLK2C29,,,,,SOL,,
989395,,,24/04/2025 16:55:23,NTT5E84,,,,,SOL,,
953052,,,24/04/2025 16:59:44,RNG8C43,,,,,SOL,,
109193,,,24/04/2025 17:04:25,NTR3616,,,,,SOL,,
912450,,,24/04/2025 17:12:12,PKJ5D32,,,,,SOL,,
255451,,,24/04/2025 17:21:22,Sem placa,,,,,SOL,,
385539,,,24/04/2025 17:21:22,Sem placa,,,,,SOL,,
422204,,,24/04/2025 17:25:37,NYN5643,,,,,SOL,,
688680,,,24/04/2025 17:30:51,Sem placa,,,,,SOL,,
874871,,,24/04/2025 17:47:09,Sem placa,,,,,SOL,,
303345,,,24/04/2025 17:52:03,SJE672,,,,,SOL,,
136750,,,24/04/2025 17:56:31,SEJ049,,,,,SOL,,
792272,,,24/04/2025 17:57:28,SJY9A62,,,,,SOL,,
801828,,,24/04/2025 18:13:22,JOU9C7,,,,,SOL,,
755012,,,24/04/2025 18:17:08,HNK070,,,,,SOL,,
464838,,,24/04/2025 18:39:34,FC6191,,,,,SOL,,
361571,,,24/04/2025 18:56:10,QTY6145,,,,,SOL,,
425928,,,24/04/2025 19:03:18,CRF0513,,,,,SOL,,
191593,,,24/04/2025 19:03:30,Sem placa,,,,,SOL,,
127154,,,24/04/2025 19:09:06,RPE0263,,,,,SOL,,
668716,,,24/04/2025 19:13:18,Sem placa,,,,,SOL,,
525473,,,24/04/2025 19:21:05,XUK4J67,,,,,SOL,,
463819,,,24/04/2025 19:30:50,Sem placa,,,,,SOL,,
695284,,,24/04/2025 19:45:39,Sem placa,,,,,SOL,,
578846,,,24/04/2025 20:00:00,Sem placa,,,,,SOL,,
310153,,,24/04/2025 20:04:56,OKV7G62,,,,,SOL,,
315227,,,24/04/2025 20:05:50,PJ2043,,,,,SOL,,
918540,,,24/04/2025 20:32:26,Sem placa,,,,,SOL,,
71044,,,24/04/2025 21:12:32,RDM051,,,,,SOL,,
233006,,,24/04/2025 21:28:25,QIE3380,,,,,SOL,,
414025,,,24/04/2025 21:29:19,Sem placa,,,,,SOL,,
522064,,,24/04/2025 21:30:06,RPM337,,,,,SOL,,
155761,,,24/04/2025 23:17:14,RPX785,,,,,SOL,,
896592,,,24/04/2025 23:27:04,Sem placa,,,,,SOL,,
439006,,,24/04/2025 23:55:26,NZ0759,,,,,SOL,,
673421,,,25/04/2025 02:20:35,Sem placa,,,,,SOL,,
529647,,,25/04/2025 05:23:04,PJG156,,,,,SOL,,
962798,,,25/04/2025 05:36:58,Sem placa,,,,,SOL,,
239748,,,25/04/2025 05:37:24,Sem placa,,,,,SOL,,
517848,,,25/04/2025 05:48:32,BJC344,,,,,SOL,,
821866,,,25/04/2025 06:05:10,RDF5A55,,,,,SOL,,
969758,,,25/04/2025 06:12:33,RPR3E19,,,,,SOL,,
328964,,,25/04/2025 06:14:22,Sem placa,,,,,SOL,,
486903,,,25/04/2025 06:19:23,Sem placa,,,,,SOL,,
71230,,,25/04/2025 06:20:20,JRX1528,,,,,SOL,,
834431,,,25/04/2025 06:39:44,OUU9998,,,,,SOL,,
812797,,,25/04/2025 06:45:09,OUV1033,,,,,SOL,,
944259,,,25/04/2025 06:45:58,JSC1248,,,,,SOL,,
384488,,,25/04/2025 06:46:15,Sem placa,,,,,SOL,,
105625,,,25/04/2025 06:53:31,PKY6185,,,,,SOL,,
30119,,,25/04/2025 06:55:16,JOU9C72,,,,,SOL,,
