Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
715832,,,06/05/2025 05:26:53,RZL1H61,,,,,SOL,,
284554,,,06/05/2025 05:45:55,OKZ139,,,,,SOL,,
912471,,,06/05/2025 06:37:06,DLD4129,,,,,SOL,,
527246,,,06/05/2025 06:38:52,Sem placa,,,,,SOL,,
633038,,,06/05/2025 06:46:10,Sem placa,,,,,SOL,,
763188,,,06/05/2025 06:46:11,Sem placa,,,,,SOL,,
637253,,,06/05/2025 06:58:34,ROK6638,,,,,SOL,,
450748,,,06/05/2025 07:09:43,JR1569,,,,,SOL,,
266539,,,06/05/2025 07:22:38,NZA8R10,,,,,SOL,,
448288,,,06/05/2025 07:23:26,OV0511,,,,,SOL,,
73234,,,06/05/2025 07:24:10,Sem placa,,,,,SOL,,
953664,,,06/05/2025 07:26:15,PJZ474,,,,,SOL,,
793744,,,06/05/2025 07:26:34,Sem placa,,,,,SOL,,
556051,,,06/05/2025 07:29:58,RC38I11,,,,,SOL,,
682884,,,06/05/2025 07:30:57,QAF624,,,,,SOL,,
359578,,,06/05/2025 07:32:22,PLC2846,,,,,SOL,,
49547,,,06/05/2025 07:34:04,NTK5004,,,,,SOL,,
746741,,,06/05/2025 07:39:00,PLN8I50,,,,,SOL,,
261925,,,06/05/2025 07:42:51,PEM4E71,,,,,SOL,,
667857,,,06/05/2025 07:45:34,HMY4812,,,,,SOL,,
980252,,,06/05/2025 07:53:58,HCO7546,,,,,SOL,,
102866,,,06/05/2025 07:55:35,SSR1A74,,,,,SOL,,
848447,,,06/05/2025 07:56:17,SJJ7H66,,,,,SOL,,
969210,,,06/05/2025 07:58:08,IAO5G93,,,,,SOL,,
656455,,,06/05/2025 08:06:04,PJU4C63,,,,,SOL,,
966287,,,06/05/2025 08:07:19,JPW8919,,,,,SOL,,
344134,,,06/05/2025 08:11:45,PLM1700,,,,,SOL,,
820325,,,06/05/2025 08:12:53,OZC8I89,,,,,SOL,,
382452,,,06/05/2025 08:21:48,QQZ1B37,,,,,SOL,,
411787,,,06/05/2025 08:22:07,NYO5251,,,,,SOL,,
592034,,,06/05/2025 08:23:14,NTW0B77,,,,,SOL,,
780930,,,06/05/2025 08:26:19,NTR3618,,,,,SOL,,
968990,,,06/05/2025 08:28:52,Sem placa,,,,,SOL,,
746825,,,06/05/2025 08:30:06,PUO1798,,,,,SOL,,
243132,,,06/05/2025 08:32:53,JSM6138,,,,,SOL,,
239652,,,06/05/2025 08:41:38,FEW6I91,,,,,SOL,,
827207,,,06/05/2025 08:53:07,NMF2F05,,,,,SOL,,
602521,,,06/05/2025 08:53:21,OUI6099,,,,,SOL,,
229254,,,06/05/2025 08:53:26,JQB7A84,,,,,SOL,,
602362,,,06/05/2025 08:53:38,KKH0959,,,,,SOL,,
345624,,,06/05/2025 08:59:04,Sem placa,,,,,SOL,,
178115,,,06/05/2025 09:07:20,Sem placa,,,,,SOL,,
916848,,,06/05/2025 09:09:14,JPW4712,,,,,SOL,,
825293,,,06/05/2025 09:09:53,NYK5215,,,,,SOL,,
160449,,,06/05/2025 09:10:40,Sem placa,,,,,SOL,,
357102,,,06/05/2025 09:12:08,Sem placa,,,,,SOL,,
623270,,,06/05/2025 09:12:34,JSU8200,,,,,SOL,,
109171,,,06/05/2025 09:14:11,OPT2E04,,,,,SOL,,
861046,,,06/05/2025 09:14:23,Sem placa,,,,,SOL,,
147526,,,06/05/2025 09:16:27,RCO4D06,,,,,SOL,,
926185,,,06/05/2025 09:19:49,Sem placa,,,,,SOL,,
64733,,,06/05/2025 09:22:45,Sem placa,,,,,SOL,,
533504,,,06/05/2025 09:22:46,Sem placa,,,,,SOL,,
694156,,,06/05/2025 09:22:54,QTX8A45,,,,,SOL,,
170096,,,06/05/2025 09:35:19,RCX4J72,,,,,SOL,,
617792,,,06/05/2025 09:35:44,QTV8A42,,,,,SOL,,
832265,,,06/05/2025 09:44:39,OKP9D19,,,,,SOL,,
740581,,,06/05/2025 09:51:53,RUF2I65,,,,,SOL,,
868816,,,06/05/2025 09:54:40,TCJ8D39,,,,,SOL,,
761821,,,06/05/2025 10:02:15,PKW4J33,,,,,SOL,,
986093,,,06/05/2025 10:06:23,Sem placa,,,,,SOL,,
742680,,,06/05/2025 10:15:30,OUL1859,,,,,SOL,,
616719,,,06/05/2025 10:15:44,RPH7I35,,,,,SOL,,
854733,,,06/05/2025 10:18:24,Sem placa,,,,,SOL,,
604926,,,06/05/2025 10:20:30,PJR6608,,,,,SOL,,
957776,,,06/05/2025 10:32:13,JPW4712,,,,,SOL,,
645990,,,06/05/2025 10:32:31,Sem placa,,,,,SOL,,
324727,,,06/05/2025 10:34:52,Sem placa,,,,,SOL,,
116828,,,06/05/2025 10:37:20,NTM2946,,,,,SOL,,
118034,,,06/05/2025 10:40:32,RNS0G92,,,,,SOL,,
973751,,,06/05/2025 10:50:20,IAA8912,,,,,SOL,,
469117,,,06/05/2025 10:54:07,PWV9771,,,,,SOL,,
270765,,,06/05/2025 10:55:39,RVJ1D62,,,,,SOL,,
382,,,06/05/2025 10:56:04,Sem placa,,,,,SOL,,
937071,,,06/05/2025 11:03:14,SIX4B82,,,,,SOL,,
77183,,,06/05/2025 11:05:39,SJF5I95,,,,,SOL,,
88675,,,06/05/2025 11:17:30,Sem placa,,,,,SOL,,
942554,,,06/05/2025 11:27:32,SYM1A44,,,,,SOL,,
37179,,,06/05/2025 11:27:33,OKT7351,,,,,SOL,,
805737,,,06/05/2025 11:32:04,RNW8H75,,,,,SOL,,
478646,,,06/05/2025 11:33:33,HKQ6G77,,,,,SOL,,
191973,,,06/05/2025 11:35:34,JOU9C7,,,,,SOL,,
376376,,,06/05/2025 11:39:26,RNO4C14,,,,,SOL,,
228507,,,06/05/2025 11:46:37,RDC3I88,,,,,SOL,,
959848,,,06/05/2025 11:47:55,Sem placa,,,,,SOL,,
406617,,,06/05/2025 11:58:12,NYM5D06,,,,,SOL,,
996670,,,06/05/2025 11:59:13,Sem placa,,,,,SOL,,
943567,,,06/05/2025 12:04:36,OQM0447,,,,,SOL,,
69105,,,06/05/2025 12:08:25,JPG1851,,,,,SOL,,
720901,,,06/05/2025 12:10:39,SIW4I14,,,,,SOL,,
700890,,,06/05/2025 12:16:48,NTT5E84,,,,,SOL,,
671906,,,06/05/2025 12:19:17,PJN0B18,,,,,SOL,,
34820,,,06/05/2025 12:21:09,RVR0H42,,,,,SOL,,
605640,,,06/05/2025 12:25:56,QTX1H77,,,,,SOL,,
737840,,,06/05/2025 12:29:35,QNZ5C72,,,,,SOL,,
697459,,,06/05/2025 12:29:55,NZL750,,,,,SOL,,
367380,,,06/05/2025 12:33:04,PLG1B62,,,,,SOL,,
979386,,,06/05/2025 12:36:01,IAL8I19,,,,,SOL,,
398082,,,06/05/2025 12:46:22,RPR8I99,,,,,SOL,,
887866,,,06/05/2025 12:47:37,PLP3H23,,,,,SOL,,
969430,,,06/05/2025 12:51:12,TDB0A54,,,,,SOL,,
61461,,,06/05/2025 12:52:12,PBA8A73,,,,,SOL,,
200519,,,06/05/2025 12:52:39,LTR4H82,,,,,SOL,,
953071,,,06/05/2025 12:52:56,RUF2I65,,,,,SOL,,
995676,,,06/05/2025 12:53:57,RPS0I97,,,,,SOL,,
656246,,,06/05/2025 12:56:03,NZL7753,,,,,SOL,,
495732,,,06/05/2025 13:03:58,PAR4B68,,,,,SOL,,
127496,,,06/05/2025 13:04:50,NTM2946,,,,,SOL,,
853246,,,06/05/2025 13:08:21,FAU3I46,,,,,SOL,,
363262,,,06/05/2025 13:10:00,PLR8E03,,,,,SOL,,
581222,,,06/05/2025 13:14:02,Sem placa,,,,,SOL,,
705076,,,06/05/2025 13:25:58,PLC8H27,,,,,SOL,,
229268,,,06/05/2025 13:27:30,Sem placa,,,,,SOL,,
746082,,,06/05/2025 13:35:13,SKO2G71,,,,,SOL,,
323367,,,06/05/2025 13:37:08,HCO7546,,,,,SOL,,
503005,,,06/05/2025 13:40:05,RCO4D06,,,,,SOL,,
819244,,,06/05/2025 13:50:33,JPM6743,,,,,SOL,,
26035,,,06/05/2025 13:54:19,Sem placa,,,,,SOL,,
268479,,,06/05/2025 14:11:08,PLP3H23,,,,,SOL,,
9893,,,06/05/2025 14:11:27,TCV9I29,,,,,SOL,,
624811,,,06/05/2025 14:15:53,RDI2G03,,,,,SOL,,
137538,,,06/05/2025 14:16:19,OEO8068,,,,,SOL,,
972046,,,06/05/2025 14:16:52,RCP6D93,,,,,SOL,,
165678,,,06/05/2025 14:17:06,SYH6J88,,,,,SOL,,
355329,,,06/05/2025 14:38:12,NZX8B10,,,,,SOL,,
756217,,,06/05/2025 14:38:53,PJM9A57,,,,,SOL,,
38888,,,06/05/2025 14:44:41,QLD5D09,,,,,SOL,,
510612,,,06/05/2025 14:52:19,TGS2F98,,,,,SOL,,
684734,,,06/05/2025 14:55:48,PJC1608,,,,,SOL,,
463526,,,06/05/2025 14:56:05,PJW8I52,,,,,SOL,,
649793,,,06/05/2025 14:56:07,RDL2J07,,,,,SOL,,
551640,,,06/05/2025 15:01:47,PCI5G94,,,,,SOL,,
341777,,,06/05/2025 15:04:12,Sem placa,,,,,SOL,,
891503,,,06/05/2025 15:06:19,QXX1I85,,,,,SOL,,
919194,,,06/05/2025 15:11:06,Sem placa,,,,,SOL,,
245544,,,06/05/2025 15:21:32,PJJ5916,,,,,SOL,,
258453,,,06/05/2025 15:21:52,RQX9C61,,,,,SOL,,
115836,,,06/05/2025 15:24:26,PKB5183,,,,,SOL,,
114039,,,06/05/2025 15:25:16,Sem placa,,,,,SOL,,
907092,,,06/05/2025 15:25:50,PJJ7977,,,,,SOL,,
947388,,,06/05/2025 15:26:34,HCO7546,,,,,SOL,,
624940,,,06/05/2025 15:39:22,OKJ1E47,,,,,SOL,,
414017,,,06/05/2025 15:42:15,OXF3J21,,,,,SOL,,
630216,,,06/05/2025 15:45:21,RVJ1D62,,,,,SOL,,
885500,,,06/05/2025 15:48:49,JPG1851,,,,,SOL,,
790046,,,06/05/2025 16:13:17,Sem placa,,,,,SOL,,
398318,,,06/05/2025 16:16:21,OKZ1A87,,,,,SOL,,
