Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
471814,,,04/05/2025 21:07:10,PLH060,,,,,SOL,,
261788,,,04/05/2025 21:34:22,SAC706,,,,,SOL,,
488343,,,04/05/2025 22:43:09,RPP169,,,,,SOL,,
590331,,,04/05/2025 22:52:50,RVJ1D62,,,,,SOL,,
672321,,,04/05/2025 23:06:03,Sem placa,,,,,SOL,,
137689,,,04/05/2025 23:30:55,Sem placa,,,,,SOL,,
783910,,,04/05/2025 23:51:21,HCO7546,,,,,SOL,,
535448,,,05/05/2025 00:15:27,Sem placa,,,,,SOL,,
223849,,,05/05/2025 00:39:27,PLX8046,,,,,SOL,,
366083,,,05/05/2025 00:40:25,Sem placa,,,,,SOL,,
314459,,,05/05/2025 00:54:18,Sem placa,,,,,SOL,,
244518,,,05/05/2025 01:23:06,Sem placa,,,,,SOL,,
564975,,,05/05/2025 01:29:02,Sem placa,,,,,SOL,,
459723,,,05/05/2025 01:52:31,Sem placa,,,,,SOL,,
495609,,,05/05/2025 03:36:53,PKA4357,,,,,SOL,,
165722,,,05/05/2025 03:47:07,IDJ613,,,,,SOL,,
816698,,,05/05/2025 04:21:00,Sem placa,,,,,SOL,,
718785,,,05/05/2025 05:35:52,Sem placa,,,,,SOL,,
134268,,,05/05/2025 05:36:58,Sem placa,,,,,SOL,,
767522,,,05/05/2025 05:37:08,JRS715,,,,,SOL,,
498834,,,05/05/2025 05:42:37,OKZ1676,,,,,SOL,,
882689,,,05/05/2025 06:05:33,Sem placa,,,,,SOL,,
251278,,,05/05/2025 06:09:38,Sem placa,,,,,SOL,,
544439,,,05/05/2025 06:10:35,SIJ101,,,,,SOL,,
84945,,,05/05/2025 06:29:26,PLG1662,,,,,SOL,,
715157,,,05/05/2025 06:42:18,Sem placa,,,,,SOL,,
909053,,,05/05/2025 06:45:29,DOM4D29,,,,,SOL,,
546353,,,05/05/2025 06:57:32,PLF6335,,,,,SOL,,
532408,,,05/05/2025 07:00:26,NQP1A21,,,,,SOL,,
465269,,,05/05/2025 07:04:23,PCK6B30,,,,,SOL,,
829483,,,05/05/2025 07:18:26,RFG3B67,,,,,SOL,,
125876,,,05/05/2025 07:21:29,JRY3J36,,,,,SOL,,
381275,,,05/05/2025 07:23:05,QMW2C78,,,,,SOL,,
210071,,,05/05/2025 07:23:58,Sem placa,,,,,SOL,,
472667,,,05/05/2025 07:24:38,OKJ3597,,,,,SOL,,
301939,,,05/05/2025 07:27:06,NZF8413,,,,,SOL,,
933712,,,05/05/2025 07:27:43,RTL2D14,,,,,SOL,,
509865,,,05/05/2025 07:33:55,JSA7306,,,,,SOL,,
817109,,,05/05/2025 07:38:15,Sem placa,,,,,SOL,,
60486,,,05/05/2025 07:38:43,NTK5004,,,,,SOL,,
530573,,,05/05/2025 07:40:48,NYL5D62,,,,,SOL,,
542065,,,05/05/2025 07:42:31,OKZ1A87,,,,,SOL,,
242809,,,05/05/2025 07:44:26,HMY4812,,,,,SOL,,
880470,,,05/05/2025 07:44:33,PEN4E21,,,,,SOL,,
268361,,,05/05/2025 07:54:17,RZH3D55,,,,,SOL,,
470724,,,05/05/2025 07:57:43,HCO7546,,,,,SOL,,
825992,,,05/05/2025 08:04:09,LPR3E56,,,,,SOL,,
61920,,,05/05/2025 08:04:46,NYM5D06,,,,,SOL,,
501238,,,05/05/2025 08:13:35,PLM1700,,,,,SOL,,
191900,,,05/05/2025 08:13:45,PUO1798,,,,,SOL,,
690565,,,05/05/2025 08:13:53,Sem placa,,,,,SOL,,
230070,,,05/05/2025 08:18:38,RVJ1D62,,,,,SOL,,
680831,,,05/05/2025 08:20:08,QQZ1B37,,,,,SOL,,
794318,,,05/05/2025 08:20:24,OUW9620,,,,,SOL,,
998333,,,05/05/2025 08:27:28,RDK4F93,,,,,SOL,,
957494,,,05/05/2025 08:36:05,SSR1A74,,,,,SOL,,
657782,,,05/05/2025 08:38:09,Sem placa,,,,,SOL,,
190810,,,05/05/2025 08:39:40,SJR0I66,,,,,SOL,,
802845,,,05/05/2025 08:42:14,IAA8977,,,,,SOL,,
772885,,,05/05/2025 08:46:07,RVJ8E11,,,,,SOL,,
305941,,,05/05/2025 08:46:28,LTW1C76,,,,,SOL,,
216369,,,05/05/2025 08:55:00,RDF6E55,,,,,SOL,,
530013,,,05/05/2025 08:59:45,NYX4136,,,,,SOL,,
288149,,,05/05/2025 09:00:05,NYP6298,,,,,SOL,,
957367,,,05/05/2025 09:02:54,Sem placa,,,,,SOL,,
495884,,,05/05/2025 09:03:39,PLV9A04,,,,,SOL,,
343998,,,05/05/2025 09:04:37,PKW3A59,,,,,SOL,,
345941,,,05/05/2025 09:08:00,QQY8C43,,,,,SOL,,
498023,,,05/05/2025 09:11:17,Sem placa,,,,,SOL,,
612581,,,05/05/2025 09:12:55,OZG7273,,,,,SOL,,
486300,,,05/05/2025 09:29:47,RUE7B10,,,,,SOL,,
883726,,,05/05/2025 09:39:31,PLL7E57,,,,,SOL,,
206910,,,05/05/2025 09:40:29,PKD5714,,,,,SOL,,
696070,,,05/05/2025 09:43:30,RNO4C14,,,,,SOL,,
485689,,,05/05/2025 09:44:02,PAN7I52,,,,,SOL,,
881060,,,05/05/2025 09:52:17,PJP3659,,,,,SOL,,
991121,,,05/05/2025 09:53:06,Sem placa,,,,,SOL,,
557303,,,05/05/2025 09:57:19,OYV7C03,,,,,SOL,,
553096,,,05/05/2025 09:58:18,PLQ7H50,,,,,SOL,,
383381,,,05/05/2025 09:59:29,JQP7699,,,,,SOL,,
922412,,,05/05/2025 10:05:44,TEB8E13,,,,,SOL,,
625336,,,05/05/2025 10:08:30,PXX7G56,,,,,SOL,,
467411,,,05/05/2025 10:11:04,Sem placa,,,,,SOL,,
300817,,,05/05/2025 10:17:05,SKH5E03,,,,,SOL,,
518851,,,05/05/2025 10:18:13,SKP1H22,,,,,SOL,,
860012,,,05/05/2025 10:18:41,HCO7546,,,,,SOL,,
406565,,,05/05/2025 10:22:28,IYG2I12,,,,,SOL,,
817630,,,05/05/2025 10:26:13,OXF3J21,,,,,SOL,,
520330,,,05/05/2025 10:28:26,SJT8D40,,,,,SOL,,
17554,,,05/05/2025 10:29:57,PJL0F58,,,,,SOL,,
23346,,,05/05/2025 10:31:55,JJW8908,,,,,SOL,,
513462,,,05/05/2025 10:33:11,SIC1G80,,,,,SOL,,
837586,,,05/05/2025 10:34:49,TJA4F50,,,,,SOL,,
206243,,,05/05/2025 10:38:03,Sem placa,,,,,SOL,,
414037,,,05/05/2025 10:43:59,Sem placa,,,,,SOL,,
655482,,,05/05/2025 10:45:49,NYM5D06,,,,,SOL,,
696575,,,05/05/2025 10:49:36,RVJ1D62,,,,,SOL,,
286367,,,05/05/2025 10:52:17,NTM2946,,,,,SOL,,
108230,,,05/05/2025 10:59:47,OKT7351,,,,,SOL,,
200019,,,05/05/2025 11:01:25,EXM3G51,,,,,SOL,,
926242,,,05/05/2025 11:07:47,Sem placa,,,,,SOL,,
193203,,,05/05/2025 11:09:59,OKP9D19,,,,,SOL,,
827569,,,05/05/2025 11:11:10,Sem placa,,,,,SOL,,
213291,,,05/05/2025 11:12:51,QUB0I81,,,,,SOL,,
426811,,,05/05/2025 11:13:16,QWU4H85,,,,,SOL,,
200177,,,05/05/2025 11:13:31,PLO6A71,,,,,SOL,,
866605,,,05/05/2025 11:13:49,ECH6E16,,,,,SOL,,
120299,,,05/05/2025 11:15:39,JSR5376,,,,,SOL,,
579022,,,05/05/2025 11:16:09,PJN0B18,,,,,SOL,,
954129,,,05/05/2025 11:22:08,Sem placa,,,,,SOL,,
522205,,,05/05/2025 11:22:38,RPN3D18,,,,,SOL,,
27317,,,05/05/2025 11:25:18,JQZ6182,,,,,SOL,,
513336,,,05/05/2025 11:27:59,MA6929,,,,,SOL,,
691633,,,05/05/2025 11:28:11,Sem placa,,,,,SOL,,
350124,,,05/05/2025 11:28:38,QNZ5C72,,,,,SOL,,
405110,,,05/05/2025 11:34:49,QMC5J45,,,,,SOL,,
957552,,,05/05/2025 11:38:29,Sem placa,,,,,SOL,,
503668,,,05/05/2025 11:38:37,SYT2J64,,,,,SOL,,
987250,,,05/05/2025 11:39:10,RPS0I97,,,,,SOL,,
15755,,,05/05/2025 11:39:56,Sem placa,,,,,SOL,,
96973,,,05/05/2025 11:40:02,QTX8A45,,,,,SOL,,
872880,,,05/05/2025 11:49:49,Sem placa,,,,,SOL,,
379150,,,05/05/2025 11:51:51,PJP3659,,,,,SOL,,
974246,,,05/05/2025 11:54:29,PKE6J55,,,,,SOL,,
124884,,,05/05/2025 11:57:19,JPG1851,,,,,SOL,,
600756,,,05/05/2025 11:59:46,OIW7D70,,,,,SOL,,
313150,,,05/05/2025 11:59:48,PLG1B62,,,,,SOL,,
968970,,,05/05/2025 12:00:38,NZF8413,,,,,SOL,,
127947,,,05/05/2025 12:03:13,NYK5215,,,,,SOL,,
49195,,,05/05/2025 12:05:23,RDL6J88,,,,,SOL,,
81471,,,05/05/2025 12:19:03,RVJ1D62,,,,,SOL,,
403311,,,05/05/2025 12:19:50,OUR1128,,,,,SOL,,
564589,,,05/05/2025 12:20:44,SUC1A91,,,,,SOL,,
139573,,,05/05/2025 12:21:00,ATT3194,,,,,SOL,,
846170,,,05/05/2025 12:21:54,AI7263,,,,,SOL,,
132474,,,05/05/2025 12:28:13,RNK4B44,,,,,SOL,,
927795,,,05/05/2025 12:34:47,PKP1004,,,,,SOL,,
376550,,,05/05/2025 12:35:28,JSR8F16,,,,,SOL,,
435308,,,05/05/2025 12:37:34,RUM1E26,,,,,SOL,,
946687,,,05/05/2025 12:39:32,SJV8B24,,,,,SOL,,
941406,,,05/05/2025 12:42:11,PKS5C68,,,,,SOL,,
535318,,,05/05/2025 12:47:11,OZE5694,,,,,SOL,,
385128,,,05/05/2025 12:51:37,PAR4B68,,,,,SOL,,
943173,,,05/05/2025 12:51:48,Sem placa,,,,,SOL,,
391371,,,05/05/2025 12:55:12,SKS7C86,,,,,SOL,,
14869,,,05/05/2025 12:58:29,JPG1851,,,,,SOL,,
705684,,,05/05/2025 13:00:16,Sem placa,,,,,SOL,,
699062,,,05/05/2025 13:03:32,SID5G32,,,,,SOL,,
885940,,,05/05/2025 13:11:43,PLP323,,,,,SOL,,
212872,,,05/05/2025 13:16:52,RDG8G61,,,,,SOL,,
758471,,,05/05/2025 13:17:25,Sem placa,,,,,SOL,,
684790,,,05/05/2025 13:21:58,RTL2D14,,,,,SOL,,
252456,,,05/05/2025 13:23:28,SKJ3E82,,,,,SOL,,
482370,,,05/05/2025 13:26:27,PLC8H27,,,,,SOL,,
2756,,,05/05/2025 13:26:42,Sem placa,,,,,SOL,,
900220,,,05/05/2025 13:28:05,OKS0B07,,,,,SOL,,
871878,,,05/05/2025 13:31:41,PKS0320,,,,,SOL,,
606258,,,05/05/2025 13:31:54,RDK9B10,,,,,SOL,,
304339,,,05/05/2025 13:32:39,RVJ1D62,,,,,SOL,,
68185,,,05/05/2025 13:35:09,Sem placa,,,,,SOL,,
30530,,,05/05/2025 13:37:54,PKY5989,,,,,SOL,,
428572,,,05/05/2025 13:41:55,RPR8I99,,,,,SOL,,
190218,,,05/05/2025 13:42:09,NTM2946,,,,,SOL,,
185709,,,05/05/2025 13:42:40,PJR6608,,,,,SOL,,
626925,,,05/05/2025 13:44:24,QUH7H54,,,,,SOL,,
176493,,,05/05/2025 13:46:01,OKZ1B76,,,,,SOL,,
78757,,,05/05/2025 13:50:34,TCK5E47,,,,,SOL,,
265679,,,05/05/2025 14:00:15,RCX1A61,,,,,SOL,,
631986,,,05/05/2025 14:02:41,RUV7C51,,,,,SOL,,
78923,,,05/05/2025 14:04:03,JOU9C72,,,,,SOL,,
610320,,,05/05/2025 14:05:53,JPW4712,,,,,SOL,,
415866,,,05/05/2025 14:06:10,SIU9D13,,,,,SOL,,
395494,,,05/05/2025 14:07:26,Sem placa,,,,,SOL,,
424282,,,05/05/2025 14:09:05,Sem placa,,,,,SOL,,
434532,,,05/05/2025 14:10:55,RUF2I65,,,,,SOL,,
71697,,,05/05/2025 14:15:57,TCV9I29,,,,,SOL,,
542511,,,05/05/2025 14:22:58,PGY7J98,,,,,SOL,,
835324,,,05/05/2025 14:23:34,PJM9A57,,,,,SOL,,
90816,,,05/05/2025 14:25:30,JQZ9270,,,,,SOL,,
713184,,,05/05/2025 14:26:15,Sem placa,,,,,SOL,,
81814,,,05/05/2025 14:30:49,NZL7793,,,,,SOL,,
659061,,,05/05/2025 14:34:04,RUS2H55,,,,,SOL,,
679904,,,05/05/2025 14:34:46,Sem placa,,,,,SOL,,
272894,,,05/05/2025 14:35:03,Sem placa,,,,,SOL,,
249177,,,05/05/2025 14:39:25,RPB2C28,,,,,SOL,,
757593,,,05/05/2025 14:46:19,OKZ9F71,,,,,SOL,,
54423,,,05/05/2025 15:05:42,Sem placa,,,,,SOL,,
419378,,,05/05/2025 15:08:32,SKC1G30,,,,,SOL,,
685745,,,05/05/2025 15:19:31,QTZ0F12,,,,,SOL,,
749179,,,05/05/2025 15:21:42,Sem placa,,,,,SOL,,
174076,,,05/05/2025 15:22:19,HCO7546,,,,,SOL,,
368487,,,05/05/2025 15:27:32,PLZ2A77,,,,,SOL,,
110456,,,05/05/2025 15:29:03,PJB0J09,,,,,SOL,,
341309,,,05/05/2025 15:31:08,RPO3D10,,,,,SOL,,
994596,,,05/05/2025 15:31:14,RVJ1D62,,,,,SOL,,
912434,,,05/05/2025 15:35:50,PJK6E11,,,,,SOL,,
660195,,,05/05/2025 15:38:16,PJN0B18,,,,,SOL,,
196565,,,05/05/2025 15:46:06,Sem placa,,,,,SOL,,
154778,,,05/05/2025 15:49:33,RUS2H55,,,,,SOL,,
92367,,,05/05/2025 15:56:27,PCK6B30,,,,,SOL,,
284923,,,05/05/2025 16:05:06,NYX4136,,,,,SOL,,
733731,,,05/05/2025 16:08:57,RDK9B10,,,,,SOL,,
658426,,,05/05/2025 16:14:58,IAA8912,,,,,SOL,,
860873,,,05/05/2025 16:22:05,QQN0F08,,,,,SOL,,
272662,,,05/05/2025 16:35:53,NTE8D84,,,,,SOL,,
46011,,,05/05/2025 16:39:26,Sem placa,,,,,SOL,,
161285,,,05/05/2025 16:42:45,PYD3E88,,,,,SOL,,
491812,,,05/05/2025 17:00:41,STG5C56,,,,,SOL,,
677603,,,05/05/2025 17:04:43,FVU962,,,,,SOL,,
485174,,,05/05/2025 17:05:08,Sem placa,,,,,SOL,,
101331,,,05/05/2025 17:08:46,Sem placa,,,,,SOL,,
