Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
677789,,,05/05/2025 22:11:36,Sem placa,,,,,SOL,,
570373,,,05/05/2025 23:03:46,Sem placa,,,,,SOL,,
320384,,,05/05/2025 23:32:32,OUM7F40,,,,,SOL,,
942133,,,05/05/2025 23:41:57,IN2448,,,,,SOL,,
521212,,,05/05/2025 23:49:50,PGY7J98,,,,,SOL,,
10486,,,05/05/2025 23:59:38,NCC754,,,,,SOL,,
250265,,,06/05/2025 00:50:55,Sem placa,,,,,SOL,,
366486,,,06/05/2025 05:26:53,RZL1H61,,,,,SOL,,
798769,,,06/05/2025 05:45:55,OKZ139,,,,,SOL,,
706521,,,06/05/2025 06:37:06,DLD4129,,,,,SOL,,
698116,,,06/05/2025 06:38:52,Sem placa,,,,,SOL,,
426191,,,06/05/2025 06:46:10,Sem placa,,,,,SOL,,
236774,,,06/05/2025 06:46:11,Sem placa,,,,,SOL,,
134325,,,06/05/2025 06:58:34,ROK6638,,,,,SOL,,
720653,,,06/05/2025 07:09:43,JR1569,,,,,SOL,,
794191,,,06/05/2025 07:22:38,NZA8R10,,,,,SOL,,
966539,,,06/05/2025 07:23:26,OV0511,,,,,SOL,,
530118,,,06/05/2025 07:24:10,Sem placa,,,,,SOL,,
813375,,,06/05/2025 07:26:15,PJZ474,,,,,SOL,,
834357,,,06/05/2025 07:26:34,Sem placa,,,,,SOL,,
486246,,,06/05/2025 07:29:58,RC38I11,,,,,SOL,,
87930,,,06/05/2025 07:30:57,QAF624,,,,,SOL,,
860338,,,06/05/2025 07:32:22,PLC2846,,,,,SOL,,
713480,,,06/05/2025 07:34:04,NTK5004,,,,,SOL,,
97629,,,06/05/2025 07:39:00,PLN8I50,,,,,SOL,,
193103,,,06/05/2025 07:42:51,PEM4E71,,,,,SOL,,
257252,,,06/05/2025 07:45:34,HMY4812,,,,,SOL,,
220101,,,06/05/2025 07:53:58,HCO7546,,,,,SOL,,
854895,,,06/05/2025 07:55:35,SSR1A74,,,,,SOL,,
256436,,,06/05/2025 07:56:17,SJJ7H66,,,,,SOL,,
417303,,,06/05/2025 07:58:08,IAO5G93,,,,,SOL,,
496288,,,06/05/2025 08:06:04,PJU4C63,,,,,SOL,,
861345,,,06/05/2025 08:07:19,JPW8919,,,,,SOL,,
936282,,,06/05/2025 08:11:45,PLM1700,,,,,SOL,,
153677,,,06/05/2025 08:12:53,OZC8I89,,,,,SOL,,
656141,,,06/05/2025 08:21:48,QQZ1B37,,,,,SOL,,
863782,,,06/05/2025 08:22:07,NYO5251,,,,,SOL,,
796276,,,06/05/2025 08:23:14,NTW0B77,,,,,SOL,,
217506,,,06/05/2025 08:26:19,NTR3618,,,,,SOL,,
230088,,,06/05/2025 08:28:52,Sem placa,,,,,SOL,,
367441,,,06/05/2025 08:30:06,PUO1798,,,,,SOL,,
286362,,,06/05/2025 08:32:53,JSM6138,,,,,SOL,,
577908,,,06/05/2025 08:41:38,FEW6I91,,,,,SOL,,
328520,,,06/05/2025 08:53:07,NMF2F05,,,,,SOL,,
162418,,,06/05/2025 08:53:21,OUI6099,,,,,SOL,,
638792,,,06/05/2025 08:53:26,JQB7A84,,,,,SOL,,
13563,,,06/05/2025 08:53:38,KKH0959,,,,,SOL,,
780564,,,06/05/2025 08:59:04,Sem placa,,,,,SOL,,
206461,,,06/05/2025 09:07:20,Sem placa,,,,,SOL,,
682690,,,06/05/2025 09:09:14,JPW4712,,,,,SOL,,
482588,,,06/05/2025 09:09:53,NYK5215,,,,,SOL,,
152930,,,06/05/2025 09:10:40,Sem placa,,,,,SOL,,
745525,,,06/05/2025 09:12:08,Sem placa,,,,,SOL,,
747134,,,06/05/2025 09:12:34,JSU8200,,,,,SOL,,
287348,,,06/05/2025 09:14:11,OPT2E04,,,,,SOL,,
916999,,,06/05/2025 09:14:23,Sem placa,,,,,SOL,,
99305,,,06/05/2025 09:16:27,RCO4D06,,,,,SOL,,
