Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
193050,,,08/05/2025 19:05:00,SHJ9B09,,,,,SOL,,
955345,,,08/05/2025 19:08:23,NYO5473,,,,,SOL,,
604951,,,08/05/2025 19:19:08,SKP4R81,,,,,SOL,,
378609,,,08/05/2025 19:21:23,TAT6H53,,,,,SOL,,
566602,,,08/05/2025 19:31:24,OUK4J99,,,,,SOL,,
159961,,,08/05/2025 19:35:16,TEB8E13,,,,,SOL,,
75925,,,08/05/2025 20:09:02,Sem placa,,,,,SOL,,
197821,,,08/05/2025 20:39:08,Sem placa,,,,,SOL,,
869545,,,08/05/2025 20:46:21,Sem placa,,,,,SOL,,
53742,,,08/05/2025 20:48:14,PAR4R68,,,,,SOL,,
139095,,,08/05/2025 21:05:21,OLB1R2,,,,,SOL,,
416315,,,08/05/2025 22:19:40,Sem placa,,,,,SOL,,
262112,,,08/05/2025 22:19:54,Sem placa,,,,,SOL,,
886407,,,08/05/2025 22:38:56,SJT8D40,,,,,SOL,,
953354,,,08/05/2025 22:46:21,JSS749,,,,,SOL,,
677698,,,08/05/2025 23:07:54,QWU6H85,,,,,SOL,,
811282,,,08/05/2025 23:19:17,SK0116,,,,,SOL,,
571066,,,08/05/2025 23:27:46,HCO7546,,,,,SOL,,
757731,,,08/05/2025 23:38:44,Sem placa,,,,,SOL,,
586256,,,08/05/2025 23:49:54,RVO7697,,,,,SOL,,
403989,,,08/05/2025 23:55:45,TCW0606,,,,,SOL,,
255042,,,08/05/2025 23:59:25,SEY8E74,,,,,SOL,,
865624,,,09/05/2025 00:05:47,RVY171,,,,,SOL,,
267019,,,09/05/2025 02:28:07,Sem placa,,,,,SOL,,
546634,,,09/05/2025 04:22:21,RPB2828,,,,,SOL,,
504228,,,09/05/2025 05:33:43,Sem placa,,,,,SOL,,
864776,,,09/05/2025 05:42:26,IG7I84,,,,,SOL,,
378300,,,09/05/2025 05:46:16,QKI388,,,,,SOL,,
788798,,,09/05/2025 05:52:47,SKQ891,,,,,SOL,,
368987,,,09/05/2025 05:53:46,RPP7H20,,,,,SOL,,
538116,,,09/05/2025 06:04:25,PKP8J07,,,,,SOL,,
16884,,,09/05/2025 06:17:14,JRX1528,,,,,SOL,,
70742,,,09/05/2025 06:44:40,QFD3A22,,,,,SOL,,
615775,,,09/05/2025 06:50:55,RPC9E58,,,,,SOL,,
87906,,,09/05/2025 07:02:05,TCH4I02,,,,,SOL,,
320043,,,09/05/2025 07:02:09,PKZ7E04,,,,,SOL,,
617343,,,09/05/2025 07:04:19,Sem placa,,,,,SOL,,
409934,,,09/05/2025 07:05:33,PLF6335,,,,,SOL,,
286929,,,09/05/2025 07:11:29,OVD3C12,,,,,SOL,,
729917,,,09/05/2025 07:13:58,Sem placa,,,,,SOL,,
203401,,,09/05/2025 07:19:16,Sem placa,,,,,SOL,,
711699,,,09/05/2025 07:19:50,RDJ7C30,,,,,SOL,,
398372,,,09/05/2025 07:30:03,NYU5673,,,,,SOL,,
338840,,,09/05/2025 07:37:08,OKS0163,,,,,SOL,,
652624,,,09/05/2025 07:39:02,RDI4A41,,,,,SOL,,
280846,,,09/05/2025 07:44:29,JSA4263,,,,,SOL,,
719002,,,09/05/2025 07:45:17,PKV0A92,,,,,SOL,,
506271,,,09/05/2025 07:52:37,JPG1851,,,,,SOL,,
437392,,,09/05/2025 07:52:40,RVO3E89,,,,,SOL,,
891445,,,09/05/2025 07:54:12,HCO7546,,,,,SOL,,
801832,,,09/05/2025 07:55:46,IAO5G93,,,,,SOL,,
456148,,,09/05/2025 07:56:07,QNE4D79,,,,,SOL,,
270399,,,09/05/2025 07:57:24,PLH6178,,,,,SOL,,
711968,,,09/05/2025 07:57:40,Sem placa,,,,,SOL,,
512657,,,09/05/2025 07:58:04,TCS5E69,,,,,SOL,,
77166,,,09/05/2025 08:04:53,EJF8E98,,,,,SOL,,
843060,,,09/05/2025 08:05:47,MLL3C00,,,,,SOL,,
48951,,,09/05/2025 08:07:40,NTW0B77,,,,,SOL,,
647241,,,09/05/2025 08:07:54,OZC8I89,,,,,SOL,,
442503,,,09/05/2025 08:08:15,IAA8977,,,,,SOL,,
261333,,,09/05/2025 08:10:35,PKO3C89,,,,,SOL,,
843780,,,09/05/2025 08:11:06,FEW6I91,,,,,SOL,,
821866,,,09/05/2025 08:16:28,Sem placa,,,,,SOL,,
125619,,,09/05/2025 08:17:32,RPO2H61,,,,,SOL,,
742481,,,09/05/2025 08:24:00,PLM1700,,,,,SOL,,
924029,,,09/05/2025 08:24:49,RPA6D33,,,,,SOL,,
932310,,,09/05/2025 08:26:58,OUZ8B30,,,,,SOL,,
417087,,,09/05/2025 08:29:59,PLT8I43,,,,,SOL,,
918532,,,09/05/2025 08:30:13,Sem placa,,,,,SOL,,
396163,,,09/05/2025 08:34:15,QQN0F08,,,,,SOL,,
221775,,,09/05/2025 08:35:16,Sem placa,,,,,SOL,,
490697,,,09/05/2025 08:35:23,Sem placa,,,,,SOL,,
184057,,,09/05/2025 08:35:57,QQZ1B37,,,,,SOL,,
982852,,,09/05/2025 08:41:42,QKS5B98,,,,,SOL,,
811406,,,09/05/2025 08:41:45,FLY9F40,,,,,SOL,,
412531,,,09/05/2025 08:45:46,PXM0I07,,,,,SOL,,
355709,,,09/05/2025 08:46:07,TCV9I29,,,,,SOL,,
948702,,,09/05/2025 08:49:35,RDN5G78,,,,,SOL,,
381433,,,09/05/2025 08:51:37,RUA8I59,,,,,SOL,,
4107,,,09/05/2025 08:51:55,DZG5B96,,,,,SOL,,
898662,,,09/05/2025 08:53:20,OUR1128,,,,,SOL,,
36916,,,09/05/2025 08:53:33,Sem placa,,,,,SOL,,
629894,,,09/05/2025 08:57:31,RNN3I63,,,,,SOL,,
546134,,,09/05/2025 09:01:17,PJV0541,,,,,SOL,,
104202,,,09/05/2025 09:01:30,PJN0B18,,,,,SOL,,
905384,,,09/05/2025 09:02:38,QKS5B98,,,,,SOL,,
208661,,,09/05/2025 09:06:01,PKW3A59,,,,,SOL,,
790389,,,09/05/2025 09:09:25,OZI1G49,,,,,SOL,,
432668,,,09/05/2025 09:11:53,Sem placa,,,,,SOL,,
477226,,,09/05/2025 09:14:12,SJX3D21,,,,,SOL,,
343778,,,09/05/2025 09:15:11,Sem placa,,,,,SOL,,
