Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
251257,,,06/05/2025 23:27:50,SKO8016,,,,,SOL,,
863734,,,06/05/2025 23:37:18,HCO7545,,,,,SOL,,
607422,,,07/05/2025 00:52:28,LSS1616,,,,,SOL,,
459419,,,07/05/2025 02:26:14,JSR5376,,,,,SOL,,
354632,,,07/05/2025 05:32:54,Sem placa,,,,,SOL,,
103383,,,07/05/2025 05:39:25,QK2199,,,,,SOL,,
106860,,,07/05/2025 06:08:39,RZT664,,,,,SOL,,
49740,,,07/05/2025 06:23:04,PIG1662,,,,,SOL,,
294177,,,07/05/2025 06:26:38,Sem placa,,,,,SOL,,
144330,,,07/05/2025 06:40:02,DOM4D29,,,,,SOL,,
919463,,,07/05/2025 06:43:57,PCK6B30,,,,,SOL,,
776721,,,07/05/2025 07:08:03,OVD3C12,,,,,SOL,,
765390,,,07/05/2025 07:11:56,NYO5251,,,,,SOL,,
616195,,,07/05/2025 07:36:16,JPG1851,,,,,SOL,,
64600,,,07/05/2025 07:38:40,HMY4812,,,,,SOL,,
380166,,,07/05/2025 07:38:56,PKM4C00,,,,,SOL,,
365456,,,07/05/2025 07:49:02,Sem placa,,,,,SOL,,
125551,,,07/05/2025 07:51:42,JSQ4J24,,,,,SOL,,
977359,,,07/05/2025 07:57:27,NZD9H77,,,,,SOL,,
773737,,,07/05/2025 07:58:25,JPW4712,,,,,SOL,,
894311,,,07/05/2025 07:59:48,HCO7546,,,,,SOL,,
335918,,,07/05/2025 08:02:29,NMF2F05,,,,,SOL,,
165182,,,07/05/2025 08:03:00,MLL3C00,,,,,SOL,,
343882,,,07/05/2025 08:03:52,PKY0G54,,,,,SOL,,
134724,,,07/05/2025 08:06:10,OLC7A91,,,,,SOL,,
759376,,,07/05/2025 08:07:15,FEW6I91,,,,,SOL,,
806305,,,07/05/2025 08:09:15,JRY3J36,,,,,SOL,,
757262,,,07/05/2025 08:16:49,OZC8I89,,,,,SOL,,
363089,,,07/05/2025 08:18:49,RPK1B17,,,,,SOL,,
544112,,,07/05/2025 08:19:37,PLM1700,,,,,SOL,,
310317,,,07/05/2025 08:24:43,IAO5G93,,,,,SOL,,
799269,,,07/05/2025 08:28:50,QQZ1B37,,,,,SOL,,
526352,,,07/05/2025 08:31:40,MXC7F48,,,,,SOL,,
627045,,,07/05/2025 08:40:02,FLY9F40,,,,,SOL,,
142485,,,07/05/2025 08:40:36,SKP6E33,,,,,SOL,,
272908,,,07/05/2025 08:41:44,SKT0D68,,,,,SOL,,
616781,,,07/05/2025 08:43:38,PJC0G10,,,,,SOL,,
248169,,,07/05/2025 08:44:43,SIU9D13,,,,,SOL,,
534599,,,07/05/2025 08:55:37,OKJ1E47,,,,,SOL,,
216376,,,07/05/2025 08:57:42,QXH7C35,,,,,SOL,,
81883,,,07/05/2025 09:01:51,Sem placa,,,,,SOL,,
819360,,,07/05/2025 09:03:51,AGS151,,,,,SOL,,
785799,,,07/05/2025 09:08:50,NYK5215,,,,,SOL,,
903406,,,07/05/2025 09:10:28,PLI9E01,,,,,SOL,,
438196,,,07/05/2025 09:11:59,QTX8D83,,,,,SOL,,
584898,,,07/05/2025 09:18:10,Sem placa,,,,,SOL,,
469889,,,07/05/2025 09:25:20,Sem placa,,,,,SOL,,
666211,,,07/05/2025 09:27:33,NZS7C38,,,,,SOL,,
834021,,,07/05/2025 09:33:37,Sem placa,,,,,SOL,,
69884,,,07/05/2025 09:34:22,SJQ0D73,,,,,SOL,,
680168,,,07/05/2025 09:36:38,RPN2I99,,,,,SOL,,
866712,,,07/05/2025 09:38:12,TDG3A56,,,,,SOL,,
539160,,,07/05/2025 09:43:20,NZK5C47,,,,,SOL,,
141673,,,07/05/2025 09:47:33,PKX3693,,,,,SOL,,
146902,,,07/05/2025 09:53:36,NTM2946,,,,,SOL,,
908166,,,07/05/2025 09:58:40,PLQ5D62,,,,,SOL,,
164683,,,07/05/2025 10:02:50,JPX3364,,,,,SOL,,
369839,,,07/05/2025 10:05:06,OUF6E55,,,,,SOL,,
958483,,,07/05/2025 10:05:40,NTS1688,,,,,SOL,,
217809,,,07/05/2025 10:06:02,SJQ0D73,,,,,SOL,,
668000,,,07/05/2025 10:07:36,EJF8E98,,,,,SOL,,
435628,,,07/05/2025 10:08:17,Sem placa,,,,,SOL,,
441071,,,07/05/2025 10:11:58,Sem placa,,,,,SOL,,
400411,,,07/05/2025 10:16:46,RCQ4E28,,,,,SOL,,
897095,,,07/05/2025 10:16:50,Sem placa,,,,,SOL,,
542248,,,07/05/2025 10:17:11,Sem placa,,,,,SOL,,
538363,,,07/05/2025 10:17:52,RPJ6B65,,,,,SOL,,
202433,,,07/05/2025 10:24:38,Sem placa,,,,,SOL,,
857922,,,07/05/2025 10:29:22,JSH9584,,,,,SOL,,
227507,,,07/05/2025 10:40:28,Sem placa,,,,,SOL,,
876458,,,07/05/2025 10:42:53,PJN0B18,,,,,SOL,,
549170,,,07/05/2025 10:46:44,RCP6D93,,,,,SOL,,
236300,,,07/05/2025 10:47:22,ODH7H54,,,,,SOL,,
298298,,,07/05/2025 10:47:47,RPS0I97,,,,,SOL,,
273004,,,07/05/2025 10:48:22,Sem placa,,,,,SOL,,
975302,,,07/05/2025 10:50:08,Sem placa,,,,,SOL,,
354005,,,07/05/2025 10:50:52,OZR2003,,,,,SOL,,
460042,,,07/05/2025 10:51:33,PJS3109,,,,,SOL,,
82691,,,07/05/2025 10:52:28,SKP9J99,,,,,SOL,,
729240,,,07/05/2025 10:52:52,OUO7133,,,,,SOL,,
7415,,,07/05/2025 10:54:42,OKI4E31,,,,,SOL,,
733984,,,07/05/2025 10:57:00,PLP3H23,,,,,SOL,,
771395,,,07/05/2025 10:59:39,PKA7D01,,,,,SOL,,
514280,,,07/05/2025 11:00:43,TKJ2E00,,,,,SOL,,
242838,,,07/05/2025 11:08:05,JPG1851,,,,,SOL,,
755267,,,07/05/2025 11:19:11,PLA9G98,,,,,SOL,,
530664,,,07/05/2025 11:23:18,OPP3J69,,,,,SOL,,
798185,,,07/05/2025 11:26:57,RZG8I44,,,,,SOL,,
927756,,,07/05/2025 11:31:55,RCP1A57,,,,,SOL,,
16757,,,07/05/2025 11:37:00,PJR6608,,,,,SOL,,
163367,,,07/05/2025 11:38:30,OKP9D19,,,,,SOL,,
881766,,,07/05/2025 11:47:39,GIW1E82,,,,,SOL,,
808522,,,07/05/2025 11:49:41,TDB0A54,,,,,SOL,,
24753,,,07/05/2025 11:51:41,QYV9H28,,,,,SOL,,
325816,,,07/05/2025 11:54:28,TMC7A66,,,,,SOL,,
400395,,,07/05/2025 11:58:33,IAA8912,,,,,SOL,,
978834,,,07/05/2025 12:00:45,PLG1B62,,,,,SOL,,
170103,,,07/05/2025 12:05:05,PJU4C63,,,,,SOL,,
716973,,,07/05/2025 12:05:15,FEW6I91,,,,,SOL,,
992903,,,07/05/2025 12:07:17,QPZ8H39,,,,,SOL,,
346311,,,07/05/2025 12:09:04,Sem placa,,,,,SOL,,
386798,,,07/05/2025 12:13:22,PKD5714,,,,,SOL,,
316832,,,07/05/2025 12:14:40,OUL1859,,,,,SOL,,
763790,,,07/05/2025 12:16:28,Sem placa,,,,,SOL,,
539096,,,07/05/2025 12:16:57,Sem placa,,,,,SOL,,
917788,,,07/05/2025 12:20:36,QTU4B05,,,,,SOL,,
92225,,,07/05/2025 12:20:58,RPN2I99,,,,,SOL,,
117150,,,07/05/2025 12:21:07,Sem placa,,,,,SOL,,
564695,,,07/05/2025 12:22:26,TAI9R3,,,,,SOL,,
181727,,,07/05/2025 12:22:38,SKP7E61,,,,,SOL,,
259898,,,07/05/2025 12:22:43,Sem placa,,,,,SOL,,
677006,,,07/05/2025 12:23:49,SIW4I14,,,,,SOL,,
760123,,,07/05/2025 12:27:09,QOS2D92,,,,,SOL,,
207085,,,07/05/2025 12:28:50,PLS9E00,,,,,SOL,,
685932,,,07/05/2025 12:31:13,JPG1851,,,,,SOL,,
907311,,,07/05/2025 12:31:19,PKP1004,,,,,SOL,,
257265,,,07/05/2025 12:32:26,PLQ9H56,,,,,SOL,,
522523,,,07/05/2025 12:35:02,Sem placa,,,,,SOL,,
396992,,,07/05/2025 12:38:29,PJM0700,,,,,SOL,,
504317,,,07/05/2025 12:40:10,PLN0D54,,,,,SOL,,
333830,,,07/05/2025 12:46:21,Sem placa,,,,,SOL,,
365494,,,07/05/2025 12:47:48,JQZ7046,,,,,SOL,,
253296,,,07/05/2025 12:52:06,Sem placa,,,,,SOL,,
