Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
784586,,,09/05/2025 08:04:53,EJF8E98,,,,,SOL,,
238620,,,09/05/2025 08:05:47,MLL3C00,,,,,SOL,,
963611,,,09/05/2025 08:07:40,NTW0B77,,,,,SOL,,
727000,,,09/05/2025 08:07:54,OZC8I89,,,,,SOL,,
663159,,,09/05/2025 08:08:15,IAA8977,,,,,SOL,,
381899,,,09/05/2025 08:10:35,PKO3C89,,,,,SOL,,
406577,,,09/05/2025 08:11:06,FEW6I91,,,,,SOL,,
423151,,,09/05/2025 08:16:28,Sem placa,,,,,SOL,,
819904,,,09/05/2025 08:17:32,RPO2H61,,,,,SOL,,
25493,,,09/05/2025 08:24:00,PLM1700,,,,,SOL,,
913073,,,09/05/2025 08:24:49,RPA6D33,,,,,SOL,,
478415,,,09/05/2025 08:26:58,OUZ8B30,,,,,SOL,,
843080,,,09/05/2025 08:29:59,PLT8I43,,,,,SOL,,
642200,,,09/05/2025 08:30:13,Sem placa,,,,,SOL,,
835996,,,09/05/2025 08:34:15,QQN0F08,,,,,SOL,,
515638,,,09/05/2025 08:35:16,Sem placa,,,,,SOL,,
213957,,,09/05/2025 08:35:23,Sem placa,,,,,SOL,,
278130,,,09/05/2025 08:35:57,QQZ1B37,,,,,SOL,,
754767,,,09/05/2025 08:41:42,QKS5B98,,,,,SOL,,
289128,,,09/05/2025 08:41:45,FLY9F40,,,,,SOL,,
766783,,,09/05/2025 08:45:46,PXM0I07,,,,,SOL,,
972375,,,09/05/2025 08:46:07,TCV9I29,,,,,SOL,,
900047,,,09/05/2025 08:49:35,RDN5G78,,,,,SOL,,
567278,,,09/05/2025 08:51:37,RUA8I59,,,,,SOL,,
876042,,,09/05/2025 08:51:55,DZG5B96,,,,,SOL,,
95902,,,09/05/2025 08:53:20,OUR1128,,,,,SOL,,
154914,,,09/05/2025 08:53:33,Sem placa,,,,,SOL,,
569588,,,09/05/2025 08:57:31,RNN3I63,,,,,SOL,,
581328,,,09/05/2025 09:01:17,PJV0541,,,,,SOL,,
780794,,,09/05/2025 09:01:30,PJN0B18,,,,,SOL,,
240140,,,09/05/2025 09:02:38,QKS5B98,,,,,SOL,,
850287,,,09/05/2025 09:06:01,PKW3A59,,,,,SOL,,
999731,,,09/05/2025 09:09:25,OZI1G49,,,,,SOL,,
381375,,,09/05/2025 09:11:53,Sem placa,,,,,SOL,,
234136,,,09/05/2025 09:14:12,SJX3D21,,,,,SOL,,
638420,,,09/05/2025 09:15:11,Sem placa,,,,,SOL,,
708399,,,09/05/2025 09:17:09,Sem placa,,,,,SOL,,
135457,,,09/05/2025 09:21:16,OIW7D70,,,,,SOL,,
296007,,,09/05/2025 09:22:18,Sem placa,,,,,SOL,,
948397,,,09/05/2025 09:22:46,OKS0163,,,,,SOL,,
593163,,,09/05/2025 09:24:46,PKM3C85,,,,,SOL,,
596927,,,09/05/2025 09:25:09,SKI4E12,,,,,SOL,,
405128,,,09/05/2025 09:26:01,PKV0A92,,,,,SOL,,
217505,,,09/05/2025 09:26:59,TJI8D49,,,,,SOL,,
309730,,,09/05/2025 09:27:17,FOA4I22,,,,,SOL,,
434388,,,09/05/2025 09:33:45,Sem placa,,,,,SOL,,
195201,,,09/05/2025 09:35:20,NZA4281,,,,,SOL,,
654540,,,09/05/2025 09:35:36,QUI7I32,,,,,SOL,,
83940,,,09/05/2025 09:35:58,Sem placa,,,,,SOL,,
284169,,,09/05/2025 09:36:44,NYP6298,,,,,SOL,,
17177,,,09/05/2025 09:37:01,Sem placa,,,,,SOL,,
260363,,,09/05/2025 09:42:03,SJT8D40,,,,,SOL,,
574329,,,09/05/2025 09:44:19,Sem placa,,,,,SOL,,
939287,,,09/05/2025 09:48:26,SWQ9E64,,,,,SOL,,
906776,,,09/05/2025 09:52:54,Sem placa,,,,,SOL,,
101480,,,09/05/2025 09:56:25,PVI7B00,,,,,SOL,,
555151,,,09/05/2025 10:01:45,Sem placa,,,,,SOL,,
933953,,,09/05/2025 10:03:23,OUY7182,,,,,SOL,,
400505,,,09/05/2025 10:04:10,SKQ2A26,,,,,SOL,,
663494,,,09/05/2025 10:04:47,PKD5714,,,,,SOL,,
854492,,,09/05/2025 10:05:20,QNJ8E96,,,,,SOL,,
112639,,,09/05/2025 10:07:41,OZE5694,,,,,SOL,,
