Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
727302,,,05/05/2025 09:02:54,Sem placa,,,,,SOL,,
379191,,,05/05/2025 09:03:39,PLV9A04,,,,,SOL,,
651067,,,05/05/2025 09:04:37,PKW3A59,,,,,SOL,,
847111,,,05/05/2025 09:08:00,QQY8C43,,,,,SOL,,
577239,,,05/05/2025 09:11:17,Sem placa,,,,,SOL,,
884733,,,05/05/2025 09:12:55,OZG7273,,,,,SOL,,
942449,,,05/05/2025 09:29:47,RUE7B10,,,,,SOL,,
234680,,,05/05/2025 09:39:31,PLL7E57,,,,,SOL,,
193880,,,05/05/2025 09:40:29,PKD5714,,,,,SOL,,
581426,,,05/05/2025 09:43:30,RNO4C14,,,,,SOL,,
651691,,,05/05/2025 09:44:02,PAN7I52,,,,,SOL,,
556306,,,05/05/2025 09:52:17,PJP3659,,,,,SOL,,
541783,,,05/05/2025 09:53:06,Sem placa,,,,,SOL,,
408120,,,05/05/2025 09:57:19,OYV7C03,,,,,SOL,,
778714,,,05/05/2025 09:58:18,PLQ7H50,,,,,SOL,,
609400,,,05/05/2025 09:59:29,JQP7699,,,,,SOL,,
164789,,,05/05/2025 10:05:44,TEB8E13,,,,,SOL,,
554023,,,05/05/2025 10:08:30,PXX7G56,,,,,SOL,,
425767,,,05/05/2025 10:11:04,Sem placa,,,,,SOL,,
19682,,,05/05/2025 10:17:05,SKH5E03,,,,,SOL,,
541052,,,05/05/2025 10:18:13,SKP1H22,,,,,SOL,,
616553,,,05/05/2025 10:18:41,HCO7546,,,,,SOL,,
63173,,,05/05/2025 10:22:28,IYG2I12,,,,,SOL,,
277622,,,05/05/2025 10:26:13,OXF3J21,,,,,SOL,,
297114,,,05/05/2025 10:28:26,SJT8D40,,,,,SOL,,
567074,,,05/05/2025 10:29:57,PJL0F58,,,,,SOL,,
910165,,,05/05/2025 10:31:55,JJW8908,,,,,SOL,,
87022,,,05/05/2025 10:33:11,SIC1G80,,,,,SOL,,
630580,,,05/05/2025 10:34:49,TJA4F50,,,,,SOL,,
872543,,,05/05/2025 10:38:03,Sem placa,,,,,SOL,,
938319,,,05/05/2025 10:43:59,Sem placa,,,,,SOL,,
403693,,,05/05/2025 10:45:49,NYM5D06,,,,,SOL,,
155235,,,05/05/2025 10:49:36,RVJ1D62,,,,,SOL,,
597868,,,05/05/2025 10:52:17,NTM2946,,,,,SOL,,
911689,,,05/05/2025 10:59:47,OKT7351,,,,,SOL,,
653480,,,05/05/2025 11:01:25,EXM3G51,,,,,SOL,,
931867,,,05/05/2025 11:07:47,Sem placa,,,,,SOL,,
412243,,,05/05/2025 11:09:59,OKP9D19,,,,,SOL,,
303281,,,05/05/2025 11:11:10,Sem placa,,,,,SOL,,
586838,,,05/05/2025 11:12:51,QUB0I81,,,,,SOL,,
817972,,,05/05/2025 11:13:16,QWU4H85,,,,,SOL,,
971950,,,05/05/2025 11:13:31,PLO6A71,,,,,SOL,,
87955,,,05/05/2025 11:13:49,ECH6E16,,,,,SOL,,
845293,,,05/05/2025 11:15:39,JSR5376,,,,,SOL,,
19127,,,05/05/2025 11:16:09,PJN0B18,,,,,SOL,,
17366,,,05/05/2025 11:22:08,Sem placa,,,,,SOL,,
860909,,,05/05/2025 11:22:38,RPN3D18,,,,,SOL,,
869878,,,05/05/2025 11:25:18,JQZ6182,,,,,SOL,,
761390,,,05/05/2025 11:27:59,MA6929,,,,,SOL,,
303153,,,05/05/2025 11:28:11,Sem placa,,,,,SOL,,
71174,,,05/05/2025 11:28:38,QNZ5C72,,,,,SOL,,
46923,,,05/05/2025 11:34:49,QMC5J45,,,,,SOL,,
161192,,,05/05/2025 11:38:29,Sem placa,,,,,SOL,,
136221,,,05/05/2025 11:38:37,SYT2J64,,,,,SOL,,
813516,,,05/05/2025 11:39:10,RPS0I97,,,,,SOL,,
981748,,,05/05/2025 11:39:56,Sem placa,,,,,SOL,,
947810,,,05/05/2025 11:40:02,QTX8A45,,,,,SOL,,
907268,,,05/05/2025 11:49:49,Sem placa,,,,,SOL,,
611088,,,05/05/2025 11:51:51,PJP3659,,,,,SOL,,
131725,,,05/05/2025 11:54:29,PKE6J55,,,,,SOL,,
658266,,,05/05/2025 11:57:19,JPG1851,,,,,SOL,,
862158,,,05/05/2025 11:59:46,OIW7D70,,,,,SOL,,
235378,,,05/05/2025 11:59:48,PLG1B62,,,,,SOL,,
647051,,,05/05/2025 12:00:38,NZF8413,,,,,SOL,,
705082,,,05/05/2025 12:03:13,NYK5215,,,,,SOL,,
796779,,,05/05/2025 12:05:23,RDL6J88,,,,,SOL,,
257574,,,05/05/2025 12:19:03,RVJ1D62,,,,,SOL,,
494421,,,05/05/2025 12:19:50,OUR1128,,,,,SOL,,
620794,,,05/05/2025 12:20:44,SUC1A91,,,,,SOL,,
700129,,,05/05/2025 12:21:00,ATT3194,,,,,SOL,,
685619,,,05/05/2025 12:21:54,AI7263,,,,,SOL,,
812257,,,05/05/2025 12:28:13,RNK4B44,,,,,SOL,,
381145,,,05/05/2025 12:34:47,PKP1004,,,,,SOL,,
21598,,,05/05/2025 12:35:28,JSR8F16,,,,,SOL,,
395980,,,05/05/2025 12:37:34,RUM1E26,,,,,SOL,,
812947,,,05/05/2025 12:39:32,SJV8B24,,,,,SOL,,
509722,,,05/05/2025 12:42:11,PKS5C68,,,,,SOL,,
3222,,,05/05/2025 12:47:11,OZE5694,,,,,SOL,,
839533,,,05/05/2025 12:51:37,PAR4B68,,,,,SOL,,
955831,,,05/05/2025 12:51:48,Sem placa,,,,,SOL,,
11638,,,05/05/2025 12:55:12,SKS7C86,,,,,SOL,,
79101,,,05/05/2025 12:58:29,JPG1851,,,,,SOL,,
66921,,,05/05/2025 13:00:16,Sem placa,,,,,SOL,,
637850,,,05/05/2025 13:03:32,SID5G32,,,,,SOL,,
856735,,,05/05/2025 13:11:43,PLP323,,,,,SOL,,
621981,,,05/05/2025 13:16:52,RDG8G61,,,,,SOL,,
363513,,,05/05/2025 13:17:25,Sem placa,,,,,SOL,,
486829,,,05/05/2025 13:21:58,RTL2D14,,,,,SOL,,
879395,,,05/05/2025 13:23:28,SKJ3E82,,,,,SOL,,
479107,,,05/05/2025 13:26:27,PLC8H27,,,,,SOL,,
309988,,,05/05/2025 13:26:42,Sem placa,,,,,SOL,,
415798,,,05/05/2025 13:28:05,OKS0B07,,,,,SOL,,
593912,,,05/05/2025 13:31:41,PKS0320,,,,,SOL,,
77383,,,05/05/2025 13:31:54,RDK9B10,,,,,SOL,,
913723,,,05/05/2025 13:32:39,RVJ1D62,,,,,SOL,,
