Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
564905,,,10/05/2025 16:01:33,FLY9F40,,,,,SOL,,
151844,,,10/05/2025 16:06:02,PLF6335,,,,,SOL,,
852259,,,10/05/2025 16:08:38,SJP9C95,,,,,SOL,,
509239,,,10/05/2025 16:08:46,NTZT78,,,,,SOL,,
430812,,,10/05/2025 16:09:31,SKH7J77,,,,,SOL,,
567771,,,10/05/2025 16:10:05,RPD4I84,,,,,SOL,,
7661,,,10/05/2025 16:12:22,JPG1851,,,,,SOL,,
65351,,,10/05/2025 16:13:00,Sem placa,,,,,SOL,,
217787,,,10/05/2025 16:18:18,JSE4548,,,,,SOL,,
727062,,,10/05/2025 16:21:06,OKZ1B76,,,,,SOL,,
623429,,,10/05/2025 16:23:19,Sem placa,,,,,SOL,,
451227,,,10/05/2025 16:24:31,AZW3D03,,,,,SOL,,
181447,,,10/05/2025 16:26:33,PLD1E06,,,,,SOL,,
164572,,,10/05/2025 16:27:28,PJO1321,,,,,SOL,,
208701,,,10/05/2025 16:37:41,PKP1004,,,,,SOL,,
735114,,,10/05/2025 16:39:44,Sem placa,,,,,SOL,,
733320,,,10/05/2025 16:51:31,JPO0771,,,,,SOL,,
482399,,,10/05/2025 16:58:54,Sem placa,,,,,SOL,,
190187,,,10/05/2025 16:59:35,Sem placa,,,,,SOL,,
69104,,,10/05/2025 17:06:00,ONH5J06,,,,,SOL,,
81292,,,10/05/2025 17:08:09,SKT5C94,,,,,SOL,,
239742,,,10/05/2025 17:11:21,PLL2G39,,,,,SOL,,
400008,,,10/05/2025 17:12:28,QPQ8620,,,,,SOL,,
684975,,,10/05/2025 17:20:00,OKS5583,,,,,SOL,,
36414,,,10/05/2025 17:23:54,PJL7H9,,,,,SOL,,
970091,,,10/05/2025 17:25:01,OKS627,,,,,SOL,,
712500,,,10/05/2025 17:26:01,Sem placa,,,,,SOL,,
366656,,,10/05/2025 17:31:54,SJ2813,,,,,SOL,,
156410,,,10/05/2025 17:45:10,PJW7610,,,,,SOL,,
930945,,,10/05/2025 17:52:20,SJH0J25,,,,,SOL,,
467361,,,10/05/2025 17:55:34,HG3252,,,,,SOL,,
811099,,,10/05/2025 18:10:27,FJ3132,,,,,SOL,,
714410,,,10/05/2025 18:17:06,Sem placa,,,,,SOL,,
747877,,,10/05/2025 18:17:29,Sem placa,,,,,SOL,,
170404,,,10/05/2025 18:37:10,PJL7H09,,,,,SOL,,
370082,,,10/05/2025 18:55:23,Sem placa,,,,,SOL,,
197185,,,10/05/2025 19:01:21,SC7A16,,,,,SOL,,
607693,,,10/05/2025 19:09:57,OKR5553,,,,,SOL,,
188194,,,10/05/2025 19:13:59,Sem placa,,,,,SOL,,
