Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
106454,,,06/05/2025 05:26:53,RZL1H61,,,,,SOL,,
137163,,,06/05/2025 05:45:55,OKZ139,,,,,SOL,,
510075,,,06/05/2025 06:37:06,DLD4129,,,,,SOL,,
729378,,,06/05/2025 06:38:52,Sem placa,,,,,SOL,,
481213,,,06/05/2025 06:46:10,Sem placa,,,,,SOL,,
987176,,,06/05/2025 06:46:11,Sem placa,,,,,SOL,,
726206,,,06/05/2025 06:58:34,ROK6638,,,,,SOL,,
679353,,,06/05/2025 07:09:43,JR1569,,,,,SOL,,
931650,,,06/05/2025 07:22:38,NZA8R10,,,,,SOL,,
866304,,,06/05/2025 07:23:26,OV0511,,,,,SOL,,
276472,,,06/05/2025 07:24:10,Sem placa,,,,,SOL,,
739107,,,06/05/2025 07:26:15,PJZ474,,,,,SOL,,
291561,,,06/05/2025 07:26:34,Sem placa,,,,,SOL,,
187291,,,06/05/2025 07:29:58,RC38I11,,,,,SOL,,
437826,,,06/05/2025 07:30:57,QAF624,,,,,SOL,,
325606,,,06/05/2025 07:32:22,PLC2846,,,,,SOL,,
966105,,,06/05/2025 07:34:04,NTK5004,,,,,SOL,,
539893,,,06/05/2025 07:39:00,PLN8I50,,,,,SOL,,
902749,,,06/05/2025 07:42:51,PEM4E71,,,,,SOL,,
117728,,,06/05/2025 07:45:34,HMY4812,,,,,SOL,,
44056,,,06/05/2025 07:53:58,HCO7546,,,,,SOL,,
184367,,,06/05/2025 07:55:35,SSR1A74,,,,,SOL,,
836875,,,06/05/2025 07:56:17,SJJ7H66,,,,,SOL,,
506491,,,06/05/2025 07:58:08,IAO5G93,,,,,SOL,,
882319,,,06/05/2025 08:06:04,PJU4C63,,,,,SOL,,
761016,,,06/05/2025 08:07:19,JPW8919,,,,,SOL,,
202301,,,06/05/2025 08:11:45,PLM1700,,,,,SOL,,
408686,,,06/05/2025 08:12:53,OZC8I89,,,,,SOL,,
534527,,,06/05/2025 08:21:48,QQZ1B37,,,,,SOL,,
919573,,,06/05/2025 08:22:07,NYO5251,,,,,SOL,,
507034,,,06/05/2025 08:23:14,NTW0B77,,,,,SOL,,
577401,,,06/05/2025 08:26:19,NTR3618,,,,,SOL,,
252845,,,06/05/2025 08:28:52,Sem placa,,,,,SOL,,
931811,,,06/05/2025 08:30:06,PUO1798,,,,,SOL,,
15400,,,06/05/2025 08:32:53,JSM6138,,,,,SOL,,
480104,,,06/05/2025 08:41:38,FEW6I91,,,,,SOL,,
668120,,,06/05/2025 08:53:07,NMF2F05,,,,,SOL,,
16266,,,06/05/2025 08:53:21,OUI6099,,,,,SOL,,
537326,,,06/05/2025 08:53:26,JQB7A84,,,,,SOL,,
659938,,,06/05/2025 08:53:38,KKH0959,,,,,SOL,,
46405,,,06/05/2025 08:59:04,Sem placa,,,,,SOL,,
833620,,,06/05/2025 09:07:20,Sem placa,,,,,SOL,,
445049,,,06/05/2025 09:09:14,JPW4712,,,,,SOL,,
744573,,,06/05/2025 09:09:53,NYK5215,,,,,SOL,,
55290,,,06/05/2025 09:10:40,Sem placa,,,,,SOL,,
410346,,,06/05/2025 09:12:08,Sem placa,,,,,SOL,,
119077,,,06/05/2025 09:12:34,JSU8200,,,,,SOL,,
569926,,,06/05/2025 09:14:11,OPT2E04,,,,,SOL,,
622886,,,06/05/2025 09:14:23,Sem placa,,,,,SOL,,
856544,,,06/05/2025 09:16:27,RCO4D06,,,,,SOL,,
70734,,,06/05/2025 09:19:49,Sem placa,,,,,SOL,,
758779,,,06/05/2025 09:22:45,Sem placa,,,,,SOL,,
672621,,,06/05/2025 09:22:46,Sem placa,,,,,SOL,,
621459,,,06/05/2025 09:22:54,QTX8A45,,,,,SOL,,
345738,,,06/05/2025 09:35:19,RCX4J72,,,,,SOL,,
893679,,,06/05/2025 09:35:44,QTV8A42,,,,,SOL,,
912593,,,06/05/2025 09:44:39,OKP9D19,,,,,SOL,,
839131,,,06/05/2025 09:51:53,RUF2I65,,,,,SOL,,
385032,,,06/05/2025 09:54:40,TCJ8D39,,,,,SOL,,
35972,,,06/05/2025 10:02:15,PKW4J33,,,,,SOL,,
952449,,,06/05/2025 10:06:23,Sem placa,,,,,SOL,,
260736,,,06/05/2025 10:15:30,OUL1859,,,,,SOL,,
872899,,,06/05/2025 10:15:44,RPH7I35,,,,,SOL,,
211573,,,06/05/2025 10:18:24,Sem placa,,,,,SOL,,
718650,,,06/05/2025 10:20:30,PJR6608,,,,,SOL,,
8114,,,06/05/2025 10:32:13,JPW4712,,,,,SOL,,
589040,,,06/05/2025 10:32:31,Sem placa,,,,,SOL,,
264899,,,06/05/2025 10:34:52,Sem placa,,,,,SOL,,
581971,,,06/05/2025 10:37:20,NTM2946,,,,,SOL,,
985450,,,06/05/2025 10:40:32,RNS0G92,,,,,SOL,,
354082,,,06/05/2025 10:50:20,IAA8912,,,,,SOL,,
888306,,,06/05/2025 10:54:07,PWV9771,,,,,SOL,,
213700,,,06/05/2025 10:55:39,RVJ1D62,,,,,SOL,,
607619,,,06/05/2025 10:56:04,Sem placa,,,,,SOL,,
456135,,,06/05/2025 11:03:14,SIX4B82,,,,,SOL,,
34280,,,06/05/2025 11:05:39,SJF5I95,,,,,SOL,,
979591,,,06/05/2025 11:17:30,Sem placa,,,,,SOL,,
212404,,,06/05/2025 11:27:32,SYM1A44,,,,,SOL,,
680936,,,06/05/2025 11:27:33,OKT7351,,,,,SOL,,
62711,,,06/05/2025 11:32:04,RNW8H75,,,,,SOL,,
801927,,,06/05/2025 11:33:33,HKQ6G77,,,,,SOL,,
793677,,,06/05/2025 11:35:34,JOU9C7,,,,,SOL,,
388326,,,06/05/2025 11:39:26,RNO4C14,,,,,SOL,,
207855,,,06/05/2025 11:46:37,RDC3I88,,,,,SOL,,
154938,,,06/05/2025 11:47:55,Sem placa,,,,,SOL,,
407182,,,06/05/2025 11:58:12,NYM5D06,,,,,SOL,,
960143,,,06/05/2025 11:59:13,Sem placa,,,,,SOL,,
536612,,,06/05/2025 12:04:36,OQM0447,,,,,SOL,,
933956,,,06/05/2025 12:08:25,JPG1851,,,,,SOL,,
203225,,,06/05/2025 12:10:39,SIW4I14,,,,,SOL,,
903366,,,06/05/2025 12:16:48,NTT5E84,,,,,SOL,,
652261,,,06/05/2025 12:19:17,PJN0B18,,,,,SOL,,
691694,,,06/05/2025 12:21:09,RVR0H42,,,,,SOL,,
810296,,,06/05/2025 12:25:56,QTX1H77,,,,,SOL,,
263148,,,06/05/2025 12:29:35,QNZ5C72,,,,,SOL,,
689264,,,06/05/2025 12:29:55,NZL750,,,,,SOL,,
212168,,,06/05/2025 12:33:04,PLG1B62,,,,,SOL,,
551030,,,06/05/2025 12:36:01,IAL8I19,,,,,SOL,,
375620,,,06/05/2025 12:46:22,RPR8I99,,,,,SOL,,
40355,,,06/05/2025 12:47:37,PLP3H23,,,,,SOL,,
912823,,,06/05/2025 12:51:12,TDB0A54,,,,,SOL,,
655355,,,06/05/2025 12:52:12,PBA8A73,,,,,SOL,,
678734,,,06/05/2025 12:52:39,LTR4H82,,,,,SOL,,
982895,,,06/05/2025 12:52:56,RUF2I65,,,,,SOL,,
802994,,,06/05/2025 12:53:57,RPS0I97,,,,,SOL,,
494563,,,06/05/2025 12:56:03,NZL7753,,,,,SOL,,
902385,,,06/05/2025 13:03:58,PAR4B68,,,,,SOL,,
40090,,,06/05/2025 13:04:50,NTM2946,,,,,SOL,,
454377,,,06/05/2025 13:08:21,FAU3I46,,,,,SOL,,
912394,,,06/05/2025 13:10:00,PLR8E03,,,,,SOL,,
91947,,,06/05/2025 13:14:02,Sem placa,,,,,SOL,,
968685,,,06/05/2025 13:25:58,PLC8H27,,,,,SOL,,
891883,,,06/05/2025 13:27:30,Sem placa,,,,,SOL,,
776694,,,06/05/2025 13:35:13,SKO2G71,,,,,SOL,,
168823,,,06/05/2025 13:37:08,HCO7546,,,,,SOL,,
849999,,,06/05/2025 13:40:05,RCO4D06,,,,,SOL,,
329986,,,06/05/2025 13:50:33,JPM6743,,,,,SOL,,
328504,,,06/05/2025 13:54:19,Sem placa,,,,,SOL,,
814107,,,06/05/2025 14:11:08,PLP3H23,,,,,SOL,,
902899,,,06/05/2025 14:11:27,TCV9I29,,,,,SOL,,
433499,,,06/05/2025 14:15:53,RDI2G03,,,,,SOL,,
352499,,,06/05/2025 14:16:19,OEO8068,,,,,SOL,,
656502,,,06/05/2025 14:16:52,RCP6D93,,,,,SOL,,
114447,,,06/05/2025 14:17:06,SYH6J88,,,,,SOL,,
694422,,,06/05/2025 14:38:12,NZX8B10,,,,,SOL,,
442944,,,06/05/2025 14:38:53,PJM9A57,,,,,SOL,,
781675,,,06/05/2025 14:44:41,QLD5D09,,,,,SOL,,
380439,,,06/05/2025 14:52:19,TGS2F98,,,,,SOL,,
89295,,,06/05/2025 14:55:48,PJC1608,,,,,SOL,,
314273,,,06/05/2025 14:56:05,PJW8I52,,,,,SOL,,
932138,,,06/05/2025 14:56:07,RDL2J07,,,,,SOL,,
637319,,,06/05/2025 15:01:47,PCI5G94,,,,,SOL,,
646885,,,06/05/2025 15:04:12,Sem placa,,,,,SOL,,
348536,,,06/05/2025 15:06:19,QXX1I85,,,,,SOL,,
465909,,,06/05/2025 15:11:06,Sem placa,,,,,SOL,,
819480,,,06/05/2025 15:21:32,PJJ5916,,,,,SOL,,
726602,,,06/05/2025 15:21:52,RQX9C61,,,,,SOL,,
463865,,,06/05/2025 15:24:26,PKB5183,,,,,SOL,,
73417,,,06/05/2025 15:25:16,Sem placa,,,,,SOL,,
172251,,,06/05/2025 15:25:50,PJJ7977,,,,,SOL,,
128823,,,06/05/2025 15:26:34,HCO7546,,,,,SOL,,
568493,,,06/05/2025 15:39:22,OKJ1E47,,,,,SOL,,
535769,,,06/05/2025 15:42:15,OXF3J21,,,,,SOL,,
956416,,,06/05/2025 15:45:21,RVJ1D62,,,,,SOL,,
605999,,,06/05/2025 15:48:49,JPG1851,,,,,SOL,,
105609,,,06/05/2025 16:13:17,Sem placa,,,,,SOL,,
396047,,,06/05/2025 16:16:21,OKZ1A87,,,,,SOL,,
676135,,,06/05/2025 16:18:19,JQB7A84,,,,,SOL,,
573142,,,06/05/2025 16:27:48,SEE7C94,,,,,SOL,,
392510,,,06/05/2025 16:36:52,QTV8A42,,,,,SOL,,
758900,,,06/05/2025 16:55:08,PLL2B14,,,,,SOL,,
160825,,,06/05/2025 17:06:02,QPZ8H39,,,,,SOL,,
707794,,,06/05/2025 17:06:36,Sem placa,,,,,SOL,,
128123,,,06/05/2025 17:16:18,TAT6H83,,,,,SOL,,
144211,,,06/05/2025 17:16:33,OUY0J82,,,,,SOL,,
344852,,,06/05/2025 17:17:12,RVJ1182,,,,,SOL,,
890764,,,06/05/2025 17:22:48,Sem placa,,,,,SOL,,
163105,,,06/05/2025 17:28:40,QQN0F08,,,,,SOL,,
142182,,,06/05/2025 17:31:03,OJ3856,,,,,SOL,,
195361,,,06/05/2025 17:35:49,PJ3192,,,,,SOL,,
365617,,,06/05/2025 17:40:46,RCK9616,,,,,SOL,,
25622,,,06/05/2025 17:49:31,TCK5E47,,,,,SOL,,
478596,,,06/05/2025 17:49:33,Sem placa,,,,,SOL,,
546120,,,06/05/2025 17:52:29,OP5645,,,,,SOL,,
747300,,,06/05/2025 17:55:34,Sem placa,,,,,SOL,,
887773,,,06/05/2025 18:02:21,RCS2H67,,,,,SOL,,
310208,,,06/05/2025 18:17:32,PLB5A56,,,,,SOL,,
160284,,,06/05/2025 18:18:00,QL9042,,,,,SOL,,
691239,,,06/05/2025 18:19:41,RZL1H61,,,,,SOL,,
732846,,,06/05/2025 18:19:54,EC1A15,,,,,SOL,,
54207,,,06/05/2025 18:20:21,RTL2D14,,,,,SOL,,
80926,,,06/05/2025 18:21:25,RC6693,,,,,SOL,,
322378,,,06/05/2025 18:25:56,PKP4779,,,,,SOL,,
688058,,,06/05/2025 18:28:32,Sem placa,,,,,SOL,,
665337,,,06/05/2025 18:29:21,RDG7I07,,,,,SOL,,
250690,,,06/05/2025 18:48:27,Sem placa,,,,,SOL,,
18747,,,06/05/2025 19:03:29,Sem placa,,,,,SOL,,
760219,,,06/05/2025 19:03:52,TDQ3A82,,,,,SOL,,
54275,,,06/05/2025 19:04:10,XZ1447,,,,,SOL,,
