Índice,Pista,Tam. (KB),Hora,Nº placa,Marca,Cor placa,Cor veículo,Veloc.km/h,Região,Tipo evento,Tam. Veíc.
944793,,,10/05/2025 19:01:21,SC7A16,,,,,SOL,,
107745,,,10/05/2025 19:09:57,OKR5553,,,,,SOL,,
873492,,,10/05/2025 19:13:59,Sem placa,,,,,SOL,,
404458,,,10/05/2025 19:17:22,DDE686,,,,,SOL,,
594182,,,10/05/2025 19:41:39,Sem placa,,,,,SOL,,
860996,,,10/05/2025 20:06:26,CY5J86,,,,,SOL,,
269331,,,10/05/2025 20:08:53,OKI1E32,,,,,SOL,,
993323,,,10/05/2025 20:26:25,TES668,,,,,SOL,,
472943,,,10/05/2025 20:34:41,DI2614,,,,,SOL,,
324148,,,10/05/2025 20:39:00,SKH7J77,,,,,SOL,,
789014,,,10/05/2025 21:08:55,Sem placa,,,,,SOL,,
461167,,,10/05/2025 21:09:28,Sem placa,,,,,SOL,,
384484,,,10/05/2025 21:15:40,NYY8582,,,,,SOL,,
983391,,,10/05/2025 22:03:49,Sem placa,,,,,SOL,,
446500,,,10/05/2025 22:31:33,Sem placa,,,,,SOL,,
450031,,,10/05/2025 23:00:09,SEK085,,,,,SOL,,
452266,,,10/05/2025 23:09:29,Sem placa,,,,,SOL,,
255604,,,10/05/2025 23:27:59,OUQ294,,,,,SOL,,
847678,,,10/05/2025 23:32:26,Sem placa,,,,,SOL,,
605315,,,10/05/2025 23:33:35,Sem placa,,,,,SOL,,
828995,,,10/05/2025 23:43:49,Sem placa,,,,,SOL,,
75410,,,10/05/2025 23:45:37,Sem placa,,,,,SOL,,
587814,,,10/05/2025 23:46:19,HZ0759,,,,,SOL,,
187834,,,11/05/2025 01:44:29,SJK847,,,,,SOL,,
376903,,,11/05/2025 02:16:32,Sem placa,,,,,SOL,,
20348,,,11/05/2025 03:01:55,Sem placa,,,,,SOL,,
697203,,,11/05/2025 05:40:38,Sem placa,,,,,SOL,,
931784,,,11/05/2025 06:09:46,Sem placa,,,,,SOL,,
686082,,,11/05/2025 06:35:06,Sem placa,,,,,SOL,,
